timepoint,XBB.1.44,XBB.1.18,XBB.1.8,XBB.1.7,XBB.1.38,B.1.1.216,XBB.1.9.5,XBB.1.9,B.6.3,B.11,XBB.2.3,XBB.2.3.11,XBB.1.16.31,XBB.1.16.9,XBB.1.16.3,XBB.1.16.26,XBB.1.16,XBB.2.9,XBB.2.4,BA.2.15,B.1.529,B.6.6,XBB.2.3.7,XBB.2.3.14,XBB,XBB.1,XBB.2,XBB.2.8,GE.1,XBB.2.3.12,XBB.2.3.10,B.1.189,B.6.1,FY.5,XBB.1.25,XBB.1.22.1,FY.1,FY.6,XBB.1.22,XBB.1.45,XBB.1.37,XBB.1.13,EM.1,XBB.1.5.93,XBB.1.5.97,XBB.1.5.99,XBB.1.5.69,XBB.1.5.51,XBB.1.5.86,XBB.1.5.35,XBB.1.5.7,XBB.1.5.100,XBB.1.5.33,XBB.1.5.104,XBB.1.5.63,XBB.1.5.36,XBB.1.5.12,XBB.1.5.52,XBB.1.5.95,XBB.1.5.30,XBB.1.5.2,XBB.1.5.31,XBB.1.5.18,XBB.1.5,XBB.1.49,XBB.1.19,XBB.1.18.1,XBB.1.5.101,HS.1,XBB.1.5.98,XBB.1.5.59,XBB.1.5.75,XBB.1.5.16,XBB.1.5.92,XBB.1.5.40,XBB.1.5.28,XBB.1.5.3,XBB.1.5.14,XBB.2.6.1,XBB.1.5.110,XBB.1.5.24,XBB.2.6,XBB.1.43,XBB.2.7,XBB.1.3,BA.2.23,XBB.1.31,XBB.1.6,XBB.1.4,JF.1,XBB.1.16.6,XBB.1.16.14,XBB.1.16.12,XBB.1.16.21,GJ.4,XBB.2.3.22,JA.1,XBB.2.3.19,XBB.2.3.13,XBB.2.3.3,XBB.1.16.23,XBB.1.16.20,XBB.1.29,XBB.1.16.22,GE.1.2.1,BA.2.75.6,BN.5,BN.2,BA.2.75.5,BA.2.75,XBB.1.30,GD.1,GD.2,XBB.1.9.3,FL.6,XBB.1.26,XBB.2.5,XBB.2.1,XBB.1.17,XBB.1.15,XBB.8,XBB.3,XBB.4,XBB.9,XBB.1.5.45,XBB.1.36,XBB.1.32,XBB.2.11,XDB,JS.2,JS.1,XBB.2.3.15,XBB.2.3.6,B.1.1.428,XAA,others,sample_name,tool_name
153,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.03,freyja_v2.0.0-153,freyja_v2.0.0
168,,,0.03,,,,,,,,,,,,,,,,0.03,,,,,,0.03,0.03,0.03,0.03,,,,,,,,,,,,,0.03,0.03,,0.03,,,,,0.03,,,,,,,,,0.03,0.03,,0.03,,0.03,0.03,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-168,freyja_v2.0.0
183,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-183,freyja_v2.0.0
198,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-198,freyja_v2.0.0
213,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,freyja_v2.0.0-213,freyja_v2.0.0
229,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,0.11,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.01,0.01,0.02,freyja_v2.0.0-229,freyja_v2.0.0
244,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-244,freyja_v2.0.0
259,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,0.03,freyja_v2.0.0-259,freyja_v2.0.0
274,,,,,,,,,0.01,,,,,,,,,,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-274,freyja_v2.0.0
289,,,,,,,,,,,0.86,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-289,freyja_v2.0.0
305,,,,,,,,,,,0.01,,,,0.09,0.09,0.09,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,0.09,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-305,freyja_v2.0.0
320,,,,,,,,,,,,,,,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-320,freyja_v2.0.0
335,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,0.0,freyja_v2.0.0-335,freyja_v2.0.0
350,,,,,,,,,0.01,,,,,,,,,,,0.8,0.16,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-350,freyja_v2.0.0
366,,,,,,,,,,,,,0.16,,0.16,,0.16,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-366,freyja_v2.0.0
