timepoint,BA.5.9,BA.5.1.4,BA.2.19,BA.2.28,BR.5,BQ.1.1.21,BM.2,BF.7.13.1,BR.3,BA.5.2.53,BA.5.1.18,BA.2.9.7,BF.23,BA.2.13.1,BA.5.3,BD.1,BA.2.60,XAL,BA.2.3.7,BA.2.3.6,BA.2.20,BA.2.10.3,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.1.1.15,BA.2.57,BA.2.3.10,BA.1.1.18,BA.1.1,BA.2.17,BA.1.1.4,XAB,BA.2.46,BA.1.10,BA.2.3.5,BA.2.18,BA.1.1.17,BA.2.9.2,XJ,BA.2.8,BA.2.2.1,BA.2.9,BA.1.1.16,BA.2.47,BA.2.39,BA.2.16,BA.1.1.13,BA.1.1.1,BA.2.37,BA.2.10.1,BA.2.5,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.15,BA.1.6,BC.2,B.1.177.50,BA.5.7,B.1.466.1,BY.1.1,BQ.1.25.1,BQ.1.27,CM.5.1,BF.41.1,BA.2.38.2,XM,BA.5.1.25,BA.5.6,BA.4,BE.1.1,BA.5.1.30,BA.4.6.2,BQ.1.1.57,BQ.1.16,BG.5,BA.5.1.22,BA.4.1.1,BA.4.1.2,BA.2.12.1,BF.1,BF.14,BF.29,BF.15,CH.1.1.12,BA.5.1.5,BA.5.1.33,BF.26,BF.24,BE.1.4.4,BA.5.1.2,BA.5.1.16,BF.36,AY.34,BA.1.17.1,BA.1.13,CA.6,BF.7.9,BA.5.2.26,BF.4,BA.1.1.10,BA.5.1.3,XBB.2.3.11,BA.5.2.4,BF.5.1,BE.1.1.2,BF.39,BQ.1.1.27,BQ.1.8,BQ.1.1.49,CC.1,BF.12,CM.10,BN.1.3.3,BN.1.3.1,BQ.1.2.1,BF.7.5,B.1.1.5,BF.7.6,XBG,BA.2.82,BA.1.9,B.1.1.434,B.1.1.351,BA.5.2.25,BQ.1.5,BF.7.19,BA.2.12.2,BA.2.64,AY.79,B.1.1.51,BA.2.30,AY.43.6,AY.85,BQ.1.1.15,BQ.1.1.7,BQ.1.1.18,BQ.1.3.2,BQ.1.1.3,BA.2.49,BF.7.4,CM.4,B.1.1.348,CM.5,AY.35,others,sample_name,tool_name
3,,,,,,,,,,,,,0.01,,,0.02,,,,,,,0.04,,0.04,0.03,0.01,0.02,,,,0.02,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.01,,,,,,,,,,,,,0.49,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,0.01,,,0.02,,,0.03,,,,,,,,,,,0.16,,,,,,0.01,0.01,,,,,,,,,,,0.02,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,,0.02,,,,,0.13,0.01,,0.01,0.03,,,0.01,,,,,,,,,,,0.04,,0.01,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,,,,,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.14,,,,,,,0.01,,,0.01,0.01,,,,0.02,,,0.1,0.03,,0.01,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,vlq_vd04ad36-36,vlq_vd04ad36
38,0.01,0.01,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,0.14,,,,,,,,,0.01,0.02,,,,,,,0.01,0.02,0.01,,,,,,0.02,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-38,vlq_vd04ad36
40,0.02,,,,,,,,,,,,0.05,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.82,vlq_vd04ad36-40,vlq_vd04ad36
42,0.02,,,,,,,,0.01,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.04,,,,,,,0.01,,,,,,,,,0.05,,,,,,,0.01,,,,,,,,,,,,,,,0.03,,,,0.05,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,0.01,0.07,0.01,0.6,vlq_vd04ad36-42,vlq_vd04ad36
45,0.02,,,,,,,0.02,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.1,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,vlq_vd04ad36-45,vlq_vd04ad36
47,0.04,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.02,,0.16,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.03,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.02,0.04,,0.01,,,,,,,0.02,0.03,,,,,,,,0.02,,,0.02,,,,,,,,0.7,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,0.01,,,,,,,,,,,,0.02,0.02,,,,,,0.02,0.03,0.01,,,0.02,,0.01,0.01,,,0.01,0.01,,,,,,,0.02,0.01,0.01,,,,,0.01,,,,,,0.01,,0.05,,,0.02,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,0.01,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,0.01,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,0.03,,,,,,,0.01,0.05,0.02,0.04,,0.01,0.02,0.02,,,,,0.67,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,0.01,,,,,,,,,0.01,,,0.02,,,,,,,0.02,0.03,,0.01,,0.02,,0.01,0.01,0.02,,,,,0.01,,,0.01,,0.08,0.01,0.02,,,,,,,0.02,,,,,,0.02,0.02,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,,0.03,,0.01,,,,,0.03,0.03,0.02,0.02,,0.03,,,0.1,0.02,,,,,0.02,,,0.02,,,,0.01,,0.01,,,,,,,,,,,0.01,0.01,0.01,0.08,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-9,vlq_vd04ad36
