timepoint,BA.5.9,BA.5.1.4,BA.2.19,BA.2.28,BM.2.1,BW.1.1.1,DL.1,BQ.1.1.47,BQ.1.1.21,DQ.1,BM.5,CU.1,BM.3,BF.7.13.1,BR.3,BA.5.6.4,BF.7.9,B.1.36.22,BA.2.9.7,BF.23,BA.2.13.1,BA.5.3,BA.2.60,BA.2.73,BA.4.1.1,BA.2.3.6,BA.2.43,BA.4.1.2,BA.2.12.2,BA.2.20,BA.2.54,BA.5.2.28,BA.2.69,BA.2.3.14,BA.2.3.10,BA.2.9.4,BA.2.3.4,BA.2.67,BA.2.62,BA.2.11,BA.2.72,BA.2.3.5,BA.2.18,BA.2.9.2,BA.2.8,BA.2.47,BA.2.39,BA.2.16,BA.2.5,BA.1.15,BA.2,BA.5.1.31,BF.14,B.1.1.44,BK.1,XBB.2.3.5,XBB.1.28,BQ.1.25.1,BQ.1.27,DT.1,BQ.1.1.38,BA.2.9.3,BF.26,BA.2.40,B.1.1.51,B.1.1.529,BD.1,XAL,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.1.16,BA.1.1.15,BA.1.1.18,BA.1.19,BA.1.1,BA.1.1.4,BA.1.15.3,BA.1.10,AY.47,BA.2.2.1,BA.1.1.16,BA.1.1.13,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.6,AY.43.9,AY.84,BF.5,BU.2,BF.7.17,BQ.1.33,BQ.1.10.3,DM.1,BQ.1.1.15,BQ.1.2.1,BF.16,BA.5.2.53,BQ.1.16,BF.13,BF.7.10,BT.2,BA.5.1.18,BA.2.75.3,BA.5.6.1,BA.5.2.26,BA.5.1.22,BF.4,BF.1,BF.7.5,BA.5.1.7,BF.29,BA.5.5.3,BY.1.1,BA.5.2.63,CM.6.1,BQ.1.1.60,BF.41.1,BA.5.1.5,BA.5.1.33,BA.5.1.26,BF.24,BF.5.1,BA.5.1.11,BA.5.2.19,BF.12,BE.1.4.4,BE.1.1.2,BF.20,BF.39,BA.5.1.25,BA.5.1.2,BA.5.1.16,BF.21,CA.2,BA.5.2.32,BA.2.12.1,BA.2.70,BA.1.1.1,BQ.1.2.2,XBB.1.37.1,BN.1.3.10,BA.5.1.1,BE.1.1,BE.1.4,BQ.1.26.1,BQ.1.1.72,BQ.1.1.10,BF.11.2,BQ.1.1.6,BF.11.4,BF.17,XBB.1.28.1,DT.2,BF.36,XBB.1.14,XBJ.2,CM.4,CM.5,BF.7.6,BF.5.5,BA.2.3.20,BA.2.10.3,B.1.1.266,B.1.221.4,BR.1.1,BN.1.3.1,BQ.1.5,BQ.1.1.3,BF.2,BF.7.4,BQ.1.1.74,XAM,BE.1.2,XBB.3.4,BA.4.1.9,B.1.1.318,FZ.1.1,BN.1.3.3,BF.7.19,XJ,BA.1.9,BC.2,XM,BA.2.41,BA.1.1.17,B.1.177.75,B.1.1.338,BU.3,BQ.1.1.69,BQ.1.1.18,BA.5.2.16,B.1.637,BA.2.12,BG.6,AY.46.6,B.1.1.30,others,sample_name,tool_name
3,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.01,0.05,0.03,0.03,0.05,,,0.02,0.03,,0.01,,,0.01,,,0.02,,,0.02,0.19,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.43,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,0.02,0.08,,,,0.01,,,,0.01,,0.01,,,,,,,,0.02,,,,,,0.03,,,,,0.02,,,,,,,,,,0.01,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.03,0.02,,,,,,0.01,0.02,,,0.02,0.03,,,,,0.04,,,,0.01,,0.07,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,0.01,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.13,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,0.02,0.02,,0.01,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.57,vlq_vd04ad36-36,vlq_vd04ad36
38,0.02,,,,,,,,,,,,,0.01,,0.01,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.01,,,0.01,,,0.01,,,,,,,,,,,,,,,,0.01,,0.01,,,0.02,,0.01,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-38,vlq_vd04ad36
40,0.02,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,0.01,,,,,0.01,,,,,,,,0.01,,,0.01,,,0.03,,,,,,,0.01,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,vlq_vd04ad36-40,vlq_vd04ad36
42,0.01,0.01,,,,,,,,,,,,,0.01,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,vlq_vd04ad36-42,vlq_vd04ad36
45,0.03,,,,,,,,,,,,,,,0.01,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,0.01,0.01,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-45,vlq_vd04ad36
47,0.06,,,,,,,,,0.01,,,0.01,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-47,vlq_vd04ad36
49,0.01,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,0.03,,,,,0.01,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,0.01,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,,,,,,,,,,,,0.01,0.02,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,0.08,0.02,,,,,0.03,,,0.01,0.01,,0.01,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.01,,,0.02,0.02,,,,,,,,,,,0.62,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.01,,0.03,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,0.01,0.03,,0.02,,,,,,,,,0.03,,,,,,,,,0.01,,0.02,0.02,,,,,,0.67,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,0.02,0.02,0.01,,,0.03,0.06,,0.02,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.02,0.03,0.02,0.04,,,,,0.01,,0.01,0.03,0.02,0.06,,0.02,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.06,0.11,,,,,,,,,,,,,,0.48,vlq_vd04ad36-9,vlq_vd04ad36
