timepoint,BA.2.16,BA.2.9,BA.2.12.1,BA.2.23,BA.4,BA.2.3.5,BA.4.1.2,BA.2.3,BA.2,BA.2.12,XAS,BA.4.8,BA.1,B.1.617.2,BA.1.18,BA.1.1,BA.1.17.2,BA.1.17,AY.43,AY.82,B.1,B.1.1.529,XV,BA.5.1,BA.5.2.1,BA.5.2,BF.14,BA.5,BE.1.1,BA.5.1.5,BA.5.1.22,BA.2.75.1,BF.7,BE.1,BF.5,BN.2,BA.5.1.23,BA.5.3.1,CC.1,BA.2.70,BA.2.3.21,BA.2.73,BF.12,BF.1,BA.5.3,BA.5.5,BA.4.1,XAJ,BE.1.4,BA.5.1.17,BA.2.3.20,BN.1,BY.1.1,BF.18,CR.1,BN.5,BA.2.75.5,BA.5.9,BA.5.2.57,BA.2.76,BA.2.75.4,BF.23,CB.1,BA.5.2.52,BM.1.1.3,BN.1.3,XBT,BA.5.11,XBU,XZ,BA.1.1.1,BE.1.1.1,BF.7.1,BQ.1.1.15,BF.11,XBB,XBB.1,XBB.2,FB.1,BF.7.6,BM.1.1.1,BQ.1.1.46,BQ.1.1.66,DT.3,BQ.1.1.45,BQ.1.1.9,BQ.1.1.74,BQ.1.1.67,BQ.1.1.1,BQ.1.1.32,BQ.1.1.44,BQ.1.1.31,BQ.1.1.53,BQ.1.1.47,BQ.1.1,BN.1.3.4,BF.7.24,BF.7.4,BQ.1.1.3,BA.2.87,BA.2.11,BQ.1,BA.5.1.3,BF.4,B.1.395,BQ.1.24,BA.5.2.27,CT.1,XBB.1.3,BA.5.1.11,BQ.1.1.25,BA.5.2.20,B.1.153,BA.2.4,BA.2.29,BA.1.13,XAH,BE.1.1.2,BZ.2,BA.5.2.26,BA.4.6,BA.2.75,BN.1.3.3,BF.32,BN.1.3.1,BQ.1.23,BN.1.2.3,BQ.1.33,BQ.1.31,BF.7.9,CH.1.1,CH.1.1.3,BQ.1.1.2,BQ.1.10,BQ.1.1.18,BF.7.5,BN.1.2,BA.2.55,BA.2.56,BA.2.6,BA.1.1.11,BA.1.1.7,BA.1.1.9,AY.46.6,others,sample_name,tool_name
23,,,0.14,0.06,0.02,,,,,,,,,,,,,,,,,,,0.06,0.03,,,0.05,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.03,freyja_v2.0.0-23,freyja_v2.0.0
25,,,0.03,0.11,0.05,,,,,,,,,,,,,,,,,,,0.09,0.02,0.05,,0.26,0.14,,,,,0.02,,,,,,,,,,0.03,,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-25,freyja_v2.0.0
27,,,0.05,0.02,0.02,,,,,,,,,,,,,,,,,,,0.24,0.09,0.06,0.05,0.11,0.13,,,,,0.04,,,,,,,,,0.04,0.04,0.03,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-27,freyja_v2.0.0
29,,,,0.04,0.04,,,,,0.01,,,,,,,,,,,,,,0.16,0.08,0.07,0.07,0.32,0.09,,,,,,,,0.01,,,,,,,0.04,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-29,freyja_v2.0.0
31,,,,,,,,,,,0.02,0.01,,,,0.01,,,,,,,,0.22,0.13,0.13,0.12,0.05,0.09,,,,0.02,0.02,0.02,,,,0.03,,,0.04,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-31,freyja_v2.0.0
34,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.18,0.18,0.1,0.09,0.08,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-34,freyja_v2.0.0
36,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,0.22,0.16,0.28,0.1,,0.05,,,,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-36,freyja_v2.0.0
38,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.12,0.27,0.11,,0.05,,,0.02,0.03,0.02,,,0.01,,,,,,0.01,,,,,,0.01,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-38,freyja_v2.0.0
40,,,,,0.01,,,,,,,,,,,,,,,,,,,0.1,0.04,0.25,0.03,,0.02,,,,0.02,,0.03,,,,,,,,,,,,,,,0.1,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-40,freyja_v2.0.0
42,,,,,0.03,,,,,,,,,,,,,,,,,,,0.1,0.06,0.19,0.05,0.03,0.03,,,,0.03,,0.02,,,,,,,,,,,,,,,,0.15,0.1,,,0.02,,,0.03,,,,,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v2.0.0-42,freyja_v2.0.0
45,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.13,0.08,0.02,,0.01,,,0.05,,0.03,,,,,,,,,,,,,,,,,0.01,0.02,,0.02,,,0.04,,,,,,,,0.03,,,,,,,0.05,,,0.01,0.01,0.01,,0.02,,0.03,,,,,,,,,,,,,,0.03,,,,,,,0.04,0.04,,0.04,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v2.0.0-45,freyja_v2.0.0
47,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.12,0.03,0.02,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.08,,,,,,,,,,0.03,,,,,0.04,,0.02,0.03,0.03,0.03,,0.03,,,,,,,,,,,,,,,,0.03,,,,,,0.02,0.02,,,,,0.01,0.02,,,,,,,,,,,,,,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,0.07,freyja_v2.0.0-47,freyja_v2.0.0
49,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.06,0.04,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.06,,,,0.14,0.08,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-49,freyja_v2.0.0
51,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.06,0.05,0.02,,,,,0.06,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,0.02,,,,0.06,,0.02,0.01,0.01,0.01,,0.01,,0.05,,,0.05,,,,,,0.05,0.05,,,0.05,,,0.02,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,0.02,0.02,0.05,0.05,0.02,0.02,0.02,,,,,,,,0.03,freyja_v2.0.0-51,freyja_v2.0.0
