timepoint,XV,B.11,B.1.1.284,XAR,XR,XAM,XAU,XW,BJ.1,XBB.1.26,XQ,BA.2.25,BA.2.38,BA.2.64,BA.2.18,BA.2.16,BA.2.87,BA.2.26,BA.2.67,BA.2.34,BA.2.52,BA.2.51,XN,BA.2.6,BA.2.7,BA.2.9,BA.2.69,BA.2.54,BA.2.40.1,BA.2.20,BA.2.3.13,BA.2.3.2,BA.2.3.9,BA.2.3.11,BA.2.57,BA.2.12,BA.2.73,BA.2.68,BA.2.56,BA.2.5,BA.2.65,BA.2.58,BA.2.27,BA.2.10,BA.2.3,BA.2.23,BA.2.1,BA.2.29,BA.2.8,BA.2.41,BA.2.30,BA.2.50,BA.2.62,BA.2.40,BA.2.28,BA.2.11,BA.2.33,BA.2.10.2,BA.2.10.1,BA.2.85,BA.2.37,BA.2.17,BA.2.3.10,BA.2.3.16,BA.2.3.5,BA.2.9.6,BA.2.13.1,BA.2.38.1,BA.2.38.4,BA.2.38.2,XAJ,XAA,XAB,BA.2.3.15,BA.2.3.1,BA.2.3.8,BA.2.79,BA.2.23.1,BA.2.19,BA.2.81,BA.2.49,BA.2.45,BA.2.9.5,BA.2.13,BA.2.47,BA.2.3.18,BA.2.3.6,BA.2.12.1,BA.2.48,BA.2.44,BA.2.70,BA.2.3.4,XDA.1,XDA,EU.1.1.3,EU.1.1.2,EU.1.1,XBB.1.16.12,XBB.1.16.1,XBB.1.16.4,XBB.1.16.14,XBB.1.16.7,XBB.1.16.9,XBB.1.16.8,XBB.1.16.5,XBB.1.16.24,XBB.1.16.29,XBB.1.16.31,XBB.1.16.13,FU.1,FU.2,FU.3,XBB.1.16.25,XBB.1.16.30,XDB,FU.3.1,FU.5,FU.4,XBB.1.16.26,XBB.1.16.28,XBB.1.16.22,XBB.1.16.11,XBB.1.16.17,XBB.1.16,XBB.1.16.19,XBB.1.16.20,XBB.1.16.10,XBB.1.16.23,HA.2,FY.5,EU.1,XDM,XBB.1.16.6,XBB.1.16.18,XBB.1.16.21,JF.1.1.2,JF.1.1,JF.1,FU.2.1,XBB.1.16.15,XAC,BA.2.4,BA.2.72,BA.2.63,BA.2.9.7,BA.2.46,BA.2.3.12,BA.2.60,BA.2.79.1,BA.2.53,BA.2.2.1,BA.2.35,BA.2.2,BA.2.59,BA.2.9.2,JF.1.1.1,XBB.1.9,XBB.2.3,XBB.1.9.4,XBB.1.9.5,GM.1,GM.3,GM.2,GS.4,GE.1.4,GE.1.5,GS.2,XBB.1.16.3,HH.3,HH.2,HH.5,HH.4,GJ.1,GJ.2,GS.7,XCC,HH.1,GY.6,GY.4,GY.5,HH.1.1,GY.7,GY.3,GY.8,GY.9,JF.4,FU.1.1,GE.1.1,XBB.1.16.2,XCJ,XBB.2.3.18,XBB.2.3.7,XBB.2.3.14,XBB.2.3.6,XBB.2.3.3,XBB.2.3.12,XBB.2.3.11,XBB.2.3.15,XBB.2.3.10,XBB.2.3.4,XBB.2.3.13,XCE,FL.33.1,XBB.1.9.7,FL.28,FL.2.7.1,FL.2.2,XBV,HH.7,GJ.4,GJ.7,XBB.2.3.8,JA.1,XBB.2.3.16,XBB.2.3.2,XBB.2.3.19,XBB.2.3.5,XBB.2.3.20,JS.1,GE.1,B.1.1.529,BA.5.1.33,BF.32,DF.1.1,EQ.1,P.5,XBB.1.9.3,GD.2,GD.1,HG.3,HG.2,XBB.2.3.21,GJ.6,GY.2.1,HF.1.1,HF.1,GY.2,FL.2.2.1,XBB.2.3.17,XBB.2.3.22,FY.5.5,HG.1.1,HG.1,XBB.2.3.1,JS.2,HF.1.2,FU.1.1.1,B.1.1.405,GM.3.1,XBB.2.3.9,GE.1.6,BT.1,BT.2,BA.5.1.21,KH.1,XC,XCV,GY.1,JF.3,XCR,GY.1.1,FL.20.2,FL.18.1.1,B.4.8,GD.3,C.37,XF,XS,B.1.177.71,B.1.177.70,JY.1,JY.1.1,B.12,B.1.1.519,XU,XAG,XG,others,sample_name,tool_name
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-153,freyja_v1.5.3
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-168,freyja_v1.5.3
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-183,freyja_v1.5.3
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.02,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,0.02,,,,0.02,,0.02,,,,,,,,0.02,0.02,,,0.02,,0.02,0.02,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.51,freyja_v1.5.3-198,freyja_v1.5.3
213,,,,0.06,0.06,0.06,0.06,0.06,,,0.06,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.04,freyja_v1.5.3-213,freyja_v1.5.3
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,,,0.02,,,,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,,,,,,,,0.15,0.02,,,,,,,0.02,,0.02,0.02,0.02,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-229,freyja_v1.5.3
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,0.33,0.33,,,,,,,,0.0,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-259,freyja_v1.5.3
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.5.3-274,freyja_v1.5.3
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,0.03,0.03,0.03,,,,,,,,0.03,,,,,,,,,,,,,0.03,,,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,0.03,0.03,0.03,,,0.03,,0.03,0.03,,,,,,,,,,0.03,0.03,,,,,,,,0.03,0.03,,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,freyja_v1.5.3-289,freyja_v1.5.3
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,,,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,,,,,,,,,0.01,0.01,,,,,,,,0.14,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,0.13,freyja_v1.5.3-305,freyja_v1.5.3
320,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,0.03,0.03,0.03,,0.03,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,0.03,0.03,,,0.03,0.03,0.03,0.03,0.03,0.03,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-320,freyja_v1.5.3
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,0.02,,0.02,,,0.02,,,,,0.02,,0.02,,,,0.02,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,0.02,,,0.02,,,,,,,,,,,,,,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,0.04,freyja_v1.5.3-335,freyja_v1.5.3
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.5.3-350,freyja_v1.5.3
366,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.5.3-366,freyja_v1.5.3
