timepoint,BA.5.2,BF.14,BA.5.1,BA.5.1.3,BA.5.1.16,BE.1.1,BA.5.2.1,BF.6,BF.4,BF.39,BF.5,BA.5.2.20,XT,CC.1,BA.5.2.2,BA.5,BA.5.5,BE.1.1.2,BA.4.8,BA.5.2.6,CP.1,BF.7.1,BF.7,BA.5.2.54,XBB,BN.1.3,BA.5.9,BN.1.3.3,XAS,XBU,BF.7.12,BF.7.8,BF.7.10,BQ.1.14,BQ.1.31,BQ.1,BF.7.6,BQ.1.1.25,BA.5.3.1,BA.5.1.33,BA.5.1.26,BN.1.10,BN.1,BF.18,BF.31,BF.41,BQ.1.22,BF.11,BE.1,BA.5.1.28,BQ.1.1.47,BQ.1.1.32,BQ.1.1.1,BQ.1.1.66,BQ.1.1.46,BQ.1.1.67,BQ.1.1.74,BQ.1.1.9,BQ.1.1,DT.3,BA.5.1.17,XBP,CT.1,BA.2,BA.2.23,BA.5.3,BA.2.9,BA.1.1.7,BA.1.1.11,BA.1.1,BA.1.12,BA.1.5,BA.1,BA.1.1.1,B.1.91,B.1.8,B.1,XAP,BA.5.11,BN.1.3.8,BF.8,BF.5.1,DS.3,BE.1.2,CR.1,BA.5.2.8,BQ.1.24,BQ.1.9,CH.1.1,CH.1.1.3,BQ.1.1.3,BQ.1.1.45,BQ.1.1.31,BQ.1.1.6,BQ.1.1.44,BQ.1.1.76,BA.4.1.2,BA.2.12,BA.2.56,BA.2.3,BA.2.13,BA.2.4,BA.2.65,BA.2.51,XAR,BA.2.3.6,BA.2.9.2,BA.1.17.2,BA.1.17,BA.1.9,BA.2.16,BA.2.12.1,BA.4,BA.2.45,BA.2.6,BA.2.32,BA.2.24,BA.2.9.6,BA.2.7,BA.2.28,BA.2.29,XN,BF.35,BF.7.4,BQ.1.5,BQ.1.1.68,BA.5.1.11,XBB.1.43,BN.1.3.1,BQ.1.1.18,BF.1,BA.4.1.5,BA.4.1,XAJ,BN.1.3.9,BQ.1.2,BF.7.22,XCG,ED.3,BY.1.1,BA.2.87,XQ,BA.1.18,BA.5.1.5,BN.2,BA.2.75.4,BA.2.11,BF.2,B.1.617.2,BA.1.13,AY.43,AY.46,AY.79,XV,BA.5.2.26,BA.5.1.2,BA.2.75.3,BA.2.75,BA.5.1.23,BA.2.3.20,BM.1.1.3,BF.30,BL.1,BF.16,BA.2.75.5,BA.2.76,CM.5,BA.2.75.2,CE.1,XBH,BA.5.2.58,BA.3,BA.2.3.13,BA.5.1.12,BF.12,BF.32,BE.1.1.1,BA.2.44,others,sample_name,tool_name
23,,,0.02,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.04,,,,,,,,,,,,0.02,,,0.64,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-23,freyja_v1.5.3
25,0.06,,0.1,0.1,,0.14,0.02,,0.02,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.15,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,0.05,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-25,freyja_v1.5.3
27,0.05,0.06,0.12,0.12,,0.14,0.03,0.03,0.03,0.03,,,,,,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-27,freyja_v1.5.3
29,0.08,0.08,0.09,0.09,,,0.02,0.02,0.02,0.02,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-29,freyja_v1.5.3
31,0.17,0.12,0.06,0.06,,0.12,0.02,,0.02,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.06,0.04,0.03,0.03,0.01,0.12,freyja_v1.5.3-31,freyja_v1.5.3
34,0.19,0.1,,,,0.09,0.09,,0.09,,,,,,,0.31,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-34,freyja_v1.5.3
36,0.27,0.1,0.07,0.07,0.07,0.06,0.04,0.04,0.04,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.5.3-36,freyja_v1.5.3
38,0.23,0.13,0.15,,,0.06,0.09,,,,,,,,,0.03,,0.01,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-38,freyja_v1.5.3
40,0.25,0.02,0.1,0.1,,0.02,0.03,,0.03,,0.03,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,0.04,,,,,0.04,,0.04,0.03,0.02,0.02,0.01,,,,,,,,0.06,freyja_v1.5.3-40,freyja_v1.5.3
42,0.21,0.05,0.04,0.04,,0.04,0.01,0.01,0.01,0.01,,,,,,0.02,0.02,,,0.02,0.02,,,,,0.02,0.03,,,,,,,,,,,,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,0.03,0.03,0.02,0.01,0.01,,,,,,,,,,,,,0.04,freyja_v1.5.3-42,freyja_v1.5.3
45,0.11,0.08,,,,,0.02,,0.02,,,0.03,,,,0.04,,,,,,0.04,0.04,,,,0.03,,,,,,,,,,0.04,,,0.07,,,,0.02,,,,,,,,,,,0.03,,,,,,,,0.02,,0.07,,,,,,,,,,,,,,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,freyja_v1.5.3-45,freyja_v1.5.3
47,0.15,0.03,,,,,,,,,,,,,,,,,,,,,0.03,,0.12,0.08,0.08,0.05,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,freyja_v1.5.3-47,freyja_v1.5.3
49,0.15,0.05,,,,,0.04,0.04,,0.04,,,,,,0.04,,,,,,,0.02,,0.05,,,,,,,,,,,,0.01,0.02,,,,,,,,0.04,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,0.03,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-49,freyja_v1.5.3
51,0.04,0.05,,,,,,,,,,,,,,0.05,,,,,,0.06,0.06,,,,,,,,,,,,,,,0.1,,,,,,,,,0.02,0.02,,,,,,,0.02,,,,0.02,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.5.3-51,freyja_v1.5.3
