timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.18,0.04,0.78,quaid-1,quaid
12,0.25,,0.75,quaid-12,quaid
14,0.02,,0.98,quaid-14,quaid
16,0.45,,0.55,quaid-16,quaid
18,0.33,,0.67,quaid-18,quaid
20,,,1.0,quaid-20,quaid
23,,,1.0,quaid-23,quaid
25,,,1.0,quaid-25,quaid
27,,,1.0,quaid-27,quaid
29,,,1.0,quaid-29,quaid
3,0.11,0.03,0.85,quaid-3,quaid
31,,,1.0,quaid-31,quaid
34,,,1.0,quaid-34,quaid
36,,,1.0,quaid-36,quaid
38,,,1.0,quaid-38,quaid
40,,,1.0,quaid-40,quaid
42,,,1.0,quaid-42,quaid
45,,,1.0,quaid-45,quaid
47,,,1.0,quaid-47,quaid
49,,,1.0,quaid-49,quaid
5,0.06,0.01,0.93,quaid-5,quaid
51,,,1.0,quaid-51,quaid
7,0.08,,0.92,quaid-7,quaid
9,0.13,,0.87,quaid-9,quaid
