timepoint,BA.5.9,BA.5.1.4,BA.2.19,XAR,B.1.1.529,BA.2.28,CM.7,BW.1.1.1,BQ.1.1.47,BQ.1.1.21,BS.1,BM.5,CU.1,BF.7.13.1,BR.3,BA.5.6.4,CA.3,BF.7.10,BA.5.6.1,BA.2.9.7,BF.23,BA.2.13.1,BA.5.3,BD.1,BA.2.60,XAL,BA.2.3.6,BA.1.17.2,BA.2.54,BA.1,BA.1.20,BA.1.18,BA.5.2.28,BA.1.17,BA.1.1.15,BA.2.57,BA.2.3.10,BA.2.9.4,BA.1.1.18,BA.1.19,BA.1.1,BA.1.1.4,BA.2.52,BA.1.15.3,BA.1.10,BA.1.17.1,BA.2.23.1,BA.2.18,BA.2.8,BA.2.2.1,BA.2.9,BA.1.1.16,BA.2.16,BA.1.1.13,BA.1.1.1,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.15,BC.2,BA.1.14,XBB.2.3.5,XBB.3.4,BY.1.1,CH.1.1.22,CM.5.1,BF.41.1,BA.2.40,BA.5.1.25,BA.5.1.16,DL.1,DM.1,BA.5.1.38,BE.11,BQ.1.2.1,BA.5.11,BA.2.75.4,BG.5,XU,BA.2.73,BA.4.1.1,BA.2.43,BA.4.1.2,BA.2.12.2,BA.2.20,BA.2.3.11,BA.2.67,BA.2.48,BA.2.9.2,BA.2.39,BA.5.1.7,XBB.2.7.1,BQ.1.27,CN.2,BA.5.1.5,BF.26,BQ.1.26.2,BN.1.3.5,BQ.1.10.3,BN.1.3.3,ER.1,BQ.1.1.26,CW.1,CV.1,BQ.1.1.10,BQ.1.1.8,DE.2,BN.1.3.1,BF.11.4,BQ.1.3.2,BF.7.9,BA.5.2.53,BQ.1.5,BQ.1.16,BQ.1.1.3,BF.13,BF.7.22,BF.7.1,BF.7.5,BQ.1.28,BF.14,B.1.1.286,EW.1,BQ.1.1.73,BQ.1.25.1,BF.7.6,BF.24,BF.7.4,BF.20,BF.21,BE.1.1,BA.5.1.30,BQ.1.30,XBJ.2,BF.33,BA.5.1.22,BA.5.1.23,BF.1,BA.5.1.3,BF.29,BR.1.1,CM.6.1,BA.5.2.19,BE.1.4.4,BF.39,XAZ,BQ.1.1.57,BA.2.10.3,AY.124.1,BA.2.12,XE,XBB.1.5.10,BA.2.38,DV.3.1,BA.4,BA.4.1.6,BA.4.1.5,BN.1.3.10,B.1.1.112,EC.1.1,BA.5.1.26,BQ.1.1.15,BQ.1.1.18,CM.5,BF.4,BF.7.19,BA.5.2.26,CH.1.1,CA.1,BF.18,BA.1.9,XM,BA.2.79,AY.43.6,AY.4.1,AY.4.5,FK.1.2,B.1.8,XBB.1.16.1,B.1.179,BE.1.1.2,BA.5.3.5,BA.2.9.3,AY.16.1,BA.2.11,others,sample_name,tool_name
3,,,,,0.01,,,,,,,,,,,,,,,,,,,0.04,,,,0.03,,0.02,0.04,0.02,,0.04,0.02,,,,0.04,,0.05,,,0.01,0.01,,,,,,,,,0.03,,0.01,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,0.44,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,,,,,,,0.02,,,0.01,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,0.08,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,0.01,,,,,,,,,,,0.01,,,,,0.69,vlq_vd04ad36-31,vlq_vd04ad36
34,,0.01,,,,,,,,0.01,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.12,0.01,,,,,0.01,,,,,,,,,0.02,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-36,vlq_vd04ad36
38,0.02,,,,,,,,,0.01,,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,0.1,,0.01,,,,,,,,,,,,,,0.01,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-38,vlq_vd04ad36
40,0.01,,,,,,0.01,,,,,,,,0.02,,0.01,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.05,,,,,,0.02,,,,,0.02,,0.01,,,,,,,,,0.01,,0.05,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.7,vlq_vd04ad36-40,vlq_vd04ad36
42,0.02,,,,,,,,,,,0.01,,,0.01,,,0.01,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.08,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.02,,,,,,,,,0.71,vlq_vd04ad36-42,vlq_vd04ad36
45,0.02,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.04,,,0.07,,,,,0.02,0.01,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.05,,,,,,0.63,vlq_vd04ad36-45,vlq_vd04ad36
47,0.05,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.02,0.01,,0.03,,,,,,,,0.02,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,,,,,0.01,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,0.01,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.01,0.01,,,,0.02,,,0.01,0.01,,,0.01,,0.02,,0.06,,,,0.01,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.02,,0.01,,0.02,,,0.01,,,,,0.03,0.02,,,,,,,,,,,0.01,,,0.02,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.07,,,,,,,,,,,,,0.49,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.01,,,,0.02,,,0.02,0.01,,0.02,,,,,,,0.01,,,,,0.12,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,0.57,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.02,,,,0.01,0.02,,,,,,0.01,,,,0.01,,,,0.03,,,0.01,0.02,,,,,0.07,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.66,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,0.05,,0.06,0.02,0.02,,,0.03,,,,0.08,,0.03,,,,,0.03,,,,0.02,,,,0.01,0.02,,,0.07,,0.03,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-9,vlq_vd04ad36
