timepoint,BA.5.9,B.1.1.529,BN.1.3.5,XBB.1.29,BN.1.1,BW.1.1.1,CM.8.1,XBB.1.15,BN.1.2.1,BM.1.1.1,BM.3,XBB.6,DC.1,BA.2.9.7,BA.2.60,BA.4.1.1,BA.2.3.6,BA.2.20,BA.1.20,BA.1.1,BA.1.1.13,BA.1.1.14,B.1.637.1,B.1.1.430,B.1.1.435,B.1.1.397,B.1.221.4,P.1,B.1.177.83,B.1.1.269,FL.2.1,XBB.1.24,XBB.2.3.11,EK.2.1,XBB.3.4,XBB.1.36,XBB.1.37.1,XBB.1.5.3,FT.1,XBB.1.25,FE.1,XBB.1.5.40,EK.4,EU.1.1.1,EU.1.1,XBB.1.5.2,FK.1.2,DV.4,FD.4,EP.2,ED.1,XBC.1.2.1,XBB.1.18,CM.8.1.2,EG.1.4,CL.1.2,CK.2,BM.5,BF.11.3,B.1.1.431,BA.2.75.3,BA.5.6.1,BA.2.12.1,BA.1.1.4,XAB,AY.4,BZ.1,BQ.1.28,AK.1,B.1.466.2,BF.15,C.17,B.1.160.8,B.1.429,M.2,B.1.160.11,XBB.2.3.6,XBB.1.16.4,FE.1.2,XBB.1.19.1,XBB.1.33,CH.1.1.22,CN.2,CM.6.1,BN.1.8,BA.2.38.2,BE.1.1.1,BF.10,XAR,BQ.1.1.23,CU.1,B.1.78,B.1.409,P.1.7,AY.118,AY.4.2,BA.1.4,BA.1.1.1,B.1.428.2,G.1,AY.91,A.2.5.3,B.1.23,B.1.36.18,B.1.470,B.1.1.243,B.1.596,C.2,B.1.177.85,B.1.280,XBB.2.3.5,XBB.2.3.8,XBC.1.6,XBB.1.16.2,FY.2,EG.2,EK.2,XBB.1.5.54,EK.3,BQ.1.1.64,XBF.7,B.1.491,AY.43.4,BA.2.28,XBB.1.14,CH.1.1.25,BR.5,CH.1.1,BA.5.2.62,BR.3,BA.5.2.39,BE.6,BA.5.2.57,BL.3,BA.5.1.29,BA.4.2,BF.23,AY.122.2,B.1.619.1,B.1.1.10,EL.1,XBB.1.31,EG.5,XBB.1.28.1,FY.1,XBB.2.3.7,XBB.1.5.59,FL.9,EW.1,XBF.7.1,XBB.1.32,BF.26,BQ.1.9,EF.1.1,XBN,XBB.1.4.1,BQ.1.1.26,BQ.1.1.21,XBB.2.8,BA.2.8,AY.121.1,GE.1,XCC,XBB.2.3.1,CH.1.1.23,BQ.1.1.30,XBB.1.35,BA.5.1.11,BA.5.1.25,BE.1.4.1,BA.5.1.4,CH.1.1.28,XBB.4,CA.2,BR.1.2,B.1.36.22,BA.5.1.18,BA.2.78,BA.1.19,P.3,FU.2,XBB.1.16.5,XBB.2.3.3,XBB.1.5.63,CH.1.1.18,BF.24,BA.5.1.16,BA.2.19,BF.7.17,BA.2.61,BG.5,BF.7.13,BA.5.1.8,B.1.177.89,FV.1,BQ.1.25.1,BA.5.5.2,BA.5.1.1,BN.1.2.3,DE.2,BQ.1.3.1,BA.5.6.4,BN.5,BA.5.2.53,BA.2.71,BA.2.3.10,BA.2.47,BA.2.25,B.1.480,FY.3,FL.6,EY.1,XBB.1.22,BY.1.1,XBB.1.5.8,XBB.1.5.39,BN.1.2.5,XBB.1.38,BQ.1.1.68,BF.41.1,AY.85,XBB.2.5,B.1.617.3,B.1.1.385,B.1.1.528,B.1.466.1,A,A.27,B.1.1.302,XBB.1.7,EG.1.3,EG.1.1,FL.10,B.1.240.1,B.1.177.48,B.1.1.95,BM.1.1.5,XBB.1.5.67,BE.13,FL.12,BQ.1.7,CB.1,XBB.1.5.36,XBB.1.5.62,XBT,CM.5.1,BN.1.4.5,BF.11.2,B.1.208,BQ.1.13,BQ.1.1.3,BA.2.10.4,BA.1.24,BA.2.42,BA.2.41,XY,BA.1.1.3,BA.1.1.11,BA.1.15.1,B.1.466,B.1.1.434,B.1.1.219,EG.4,DY.3,XBB.1.5.52,ER.1.1,CH.1.1.6,BA.2.38.1,B.1.160.19,FL.1.3,XBB.1.20,XBB.1.3,BA.1.17.2,BE.1.3,AY.74,BQ.1.1.11,BA.5.2.32,XAD,BA.5.2.11,B.1.160.25,B.1.160.28,XAG,BQ.1.16,AY.24,AY.70,AY.11,B.1.588,XBB.2.3.10,BQ.1.27,BA.5.3.1,AY.131,AY.62,B.1.1.289,BF.20,EG.3,XBB.1.5.19,B.1.1.254,B.1.490,others,sample_name,tool_name
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,vlq_vd04ad36-229,vlq_vd04ad36
244,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,0.27,,,,,,,,,,,,,,,,,,,,,0.07,0.02,,0.02,0.02,0.03,,0.02,,,0.02,0.02,0.01,,0.01,,,0.03,0.02,,,,,0.03,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.02,0.01,0.33,,,,,,,,,,,0.19,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.07,0.02,0.01,0.05,,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,vlq_vd04ad36-274,vlq_vd04ad36
289,0.01,,,,,,,,0.02,0.02,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,,,,,0.02,,,,0.02,,0.07,,0.01,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.02,0.04,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,0.05,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,0.43,vlq_vd04ad36-289,vlq_vd04ad36
305,,0.03,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.38,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,0.03,,,,,,,,,0.02,,,0.02,,,0.02,0.03,0.02,0.01,0.02,0.01,,,,,,0.17,vlq_vd04ad36-305,vlq_vd04ad36
31,,0.01,0.01,,,0.02,,,,,,,,0.02,,,0.01,,,,,0.02,,0.01,0.01,,,,0.02,0.01,0.04,,,,0.03,,,,,,,,,,0.03,,,0.01,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.04,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,0.01,0.02,,,,,,0.01,,,0.02,,,,,,,,,,,0.02,,,,,,,,0.03,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.03,0.02,0.01,,,0.03,,0.03,0.01,0.01,,0.02,0.01,,0.02,,,,,0.04,,0.03,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,0.01,0.82,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.09,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,0.03,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.31,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,,,0.02,0.02,,,,,,,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,0.01,,,,,,,0.01,,0.02,0.02,0.01,,,,0.03,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.01,,0.02,,,,0.01,,,,,0.01,0.02,,,,0.03,,0.03,,,,,,,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,0.03,,,,,0.03,,,,,,,0.03,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,,,,0.01,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,0.04,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.01,0.03,,,0.02,0.02,0.04,0.02,0.03,,0.03,,0.02,0.01,,0.02,,,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-92,vlq_vd04ad36
