timepoint,XBB.1.5,B,B.1,XBB.1.9,XBB.1.8,B.11,XBB,XBB.1.45,B.23,XBB.2.3.3,XBB.2.3.11,XBB.1.16,XBB.1.26,XBB.1.37,XBB.2.3.6,XBB.2.3,XBB.2.3.10,XBB.2.3.13,others,sample_name,tool_name
1,,0.02,,0.97,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-1,freyja_v2.0.0
16,,0.02,,0.97,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-16,freyja_v2.0.0
31,,0.02,,0.97,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-31,freyja_v2.0.0
46,,0.02,0.01,0.97,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-46,freyja_v2.0.0
61,,0.02,,0.97,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-61,freyja_v2.0.0
77,,0.02,,0.95,,,,,,,,,0.01,,,,,,0.02,freyja_v2.0.0-77,freyja_v2.0.0
92,0.11,,,0.81,,,,0.05,0.02,,,,,,,,,,0.01,freyja_v2.0.0-92,freyja_v2.0.0
107,0.76,0.02,,0.19,0.02,,,,,,,,,,,,,,0.02,freyja_v2.0.0-107,freyja_v2.0.0
122,0.96,0.02,0.01,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-122,freyja_v2.0.0
137,0.94,0.02,,,,,0.02,,,,,,,0.01,,,,,0.01,freyja_v2.0.0-137,freyja_v2.0.0
153,0.96,0.02,0.01,,,,,0.01,,,,,,,,,,,0.0,freyja_v2.0.0-153,freyja_v2.0.0
168,0.97,0.01,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-168,freyja_v2.0.0
183,0.92,0.02,,,,,,,,0.05,,,,,,,,,0.01,freyja_v2.0.0-183,freyja_v2.0.0
198,0.48,0.02,,,,,,,,0.48,,,,,,,,,0.02,freyja_v2.0.0-198,freyja_v2.0.0
213,0.04,0.02,,,,,,,,,,,,,0.92,0.01,,,0.02,freyja_v2.0.0-213,freyja_v2.0.0
229,,0.02,,,,,,,,0.96,,,,,,,,,0.01,freyja_v2.0.0-229,freyja_v2.0.0
244,,0.03,,,,,,,,,0.01,,,,,,0.96,,0.0,freyja_v2.0.0-244,freyja_v2.0.0
259,,0.01,,,,0.01,,,,0.95,0.02,,,,,,,,0.01,freyja_v2.0.0-259,freyja_v2.0.0
274,,0.01,,,,,,,,0.95,0.01,,,,,,,,0.02,freyja_v2.0.0-274,freyja_v2.0.0
289,,0.02,,,,,,,,,0.02,0.1,,,,,,0.85,0.01,freyja_v2.0.0-289,freyja_v2.0.0
305,,0.02,,,,,,,,0.26,,0.7,,,,,,,0.01,freyja_v2.0.0-305,freyja_v2.0.0
320,,0.03,,,,,,,,,,0.96,,,,,,,0.02,freyja_v2.0.0-320,freyja_v2.0.0
335,,0.02,,,,,,,,,,0.97,,,,,,,0.01,freyja_v2.0.0-335,freyja_v2.0.0
350,,0.02,,,,,,,,,,0.97,,,,,,,0.01,freyja_v2.0.0-350,freyja_v2.0.0
366,,0.02,,,,,,,,,,0.97,,,,,,,0.01,freyja_v2.0.0-366,freyja_v2.0.0
