timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.98,0.98,0.0,quaid_vaec47270-1,quaid_vaec47270
16,0.98,0.97,0.0,quaid_vaec47270-16,quaid_vaec47270
31,0.97,,0.03,quaid_vaec47270-31,quaid_vaec47270
46,1.0,,0.0,quaid_vaec47270-46,quaid_vaec47270
61,0.97,,0.03,quaid_vaec47270-61,quaid_vaec47270
77,0.97,,0.03,quaid_vaec47270-77,quaid_vaec47270
92,0.17,,0.83,quaid_vaec47270-92,quaid_vaec47270
107,0.47,,0.53,quaid_vaec47270-107,quaid_vaec47270
122,0.94,,0.06,quaid_vaec47270-122,quaid_vaec47270
137,0.97,,0.03,quaid_vaec47270-137,quaid_vaec47270
168,0.98,,0.02,quaid_vaec47270-168,quaid_vaec47270
183,0.93,,0.07,quaid_vaec47270-183,quaid_vaec47270
198,0.48,,0.52,quaid_vaec47270-198,quaid_vaec47270
305,0.7,,0.3,quaid_vaec47270-305,quaid_vaec47270
320,0.94,,0.06,quaid_vaec47270-320,quaid_vaec47270
335,0.99,,0.01,quaid_vaec47270-335,quaid_vaec47270
350,0.98,,0.02,quaid_vaec47270-350,quaid_vaec47270
366,0.82,,0.18,quaid_vaec47270-366,quaid_vaec47270
