timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.617.1,C.37,P.3,others,sample_name,tool_name
1,,,0.02,,0.51,,,,,,0.35,,,,,0.1,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
12,,0.1,0.13,,0.38,,0.09,,0.13,,0.09,,,,,0.08,,0.02,lcs_vcfc2f02-12,lcs_vcfc2f02
14,,0.19,0.18,,0.33,,,0.03,,,0.1,,0.02,0.01,,0.13,,0.01,lcs_vcfc2f02-14,lcs_vcfc2f02
16,,,,,0.16,,,0.42,0.3,,0.02,,,0.02,,0.06,,0.02,lcs_vcfc2f02-16,lcs_vcfc2f02
18,,0.35,,,0.26,,,,,,,,,0.12,,0.24,,0.03,lcs_vcfc2f02-18,lcs_vcfc2f02
20,,0.24,,,0.17,,,,,,,,,0.03,,0.52,,0.03,lcs_vcfc2f02-20,lcs_vcfc2f02
23,,,,0.59,0.17,,,,0.03,,,,,0.14,,0.05,,0.02,lcs_vcfc2f02-23,lcs_vcfc2f02
25,,,0.11,,0.51,0.06,,,,0.22,0.04,,,,0.01,,0.02,0.04,lcs_vcfc2f02-25,lcs_vcfc2f02
27,0.01,,0.15,,0.23,,,,,0.3,0.25,,,,,0.04,,0.01,lcs_vcfc2f02-27,lcs_vcfc2f02
29,,0.11,0.1,,0.62,,,,,0.08,0.05,,,0.01,,0.01,,0.02,lcs_vcfc2f02-29,lcs_vcfc2f02
3,,0.27,0.02,,0.31,,0.07,0.03,,,0.23,,0.05,,,0.02,,0.01,lcs_vcfc2f02-3,lcs_vcfc2f02
31,,0.02,,,0.31,0.24,0.01,,,,,,,,,0.38,,0.03,lcs_vcfc2f02-31,lcs_vcfc2f02
34,,0.26,,,0.34,,,,0.01,0.24,0.01,,,0.07,,0.04,,0.03,lcs_vcfc2f02-34,lcs_vcfc2f02
36,0.02,0.35,,,0.19,,,,0.04,0.14,,0.06,,,,,0.19,0.01,lcs_vcfc2f02-36,lcs_vcfc2f02
38,,0.14,0.19,,0.51,,,,0.03,,,,,0.03,,0.05,0.01,0.03,lcs_vcfc2f02-38,lcs_vcfc2f02
40,,0.14,0.1,,0.4,0.08,0.01,,0.04,,0.07,,,0.1,,0.04,,0.01,lcs_vcfc2f02-40,lcs_vcfc2f02
42,0.02,0.26,,,0.07,,0.04,0.15,0.01,0.06,0.03,,,,,0.34,,0.02,lcs_vcfc2f02-42,lcs_vcfc2f02
45,,0.34,,,0.2,,,,,0.06,0.01,,,,,0.37,,0.01,lcs_vcfc2f02-45,lcs_vcfc2f02
47,,0.28,0.01,,0.42,,,,,0.05,0.02,0.01,,,,0.19,0.02,0.01,lcs_vcfc2f02-47,lcs_vcfc2f02
49,,0.25,,,0.52,,,,,0.01,,,,0.01,,0.16,0.02,0.02,lcs_vcfc2f02-49,lcs_vcfc2f02
5,,0.03,0.07,,0.52,,,,0.11,,0.14,,0.02,0.02,,0.08,,0.02,lcs_vcfc2f02-5,lcs_vcfc2f02
51,,0.04,,,0.31,,0.06,,,0.23,0.07,0.11,,,,0.16,,0.03,lcs_vcfc2f02-51,lcs_vcfc2f02
7,0.02,0.02,0.17,,0.57,0.02,,0.01,0.14,0.02,,,,,,,0.01,0.02,lcs_vcfc2f02-7,lcs_vcfc2f02
9,,,0.14,,0.46,,,0.21,,,0.04,,0.06,,,0.04,0.02,0.02,lcs_vcfc2f02-9,lcs_vcfc2f02
