timepoint,BA.2.44,BA.1.1,XAD,BA.1.17,B.1.617.2,BA.2.9,BA.2.9.2,BA.2.9.6,BA.2.3.5,BA.2.3.16,BA.2.3.13,BA.2.3.9,BA.1.1.1,BA.3,BA.1.5,BA.1.13,BA.1.6,B.1.1.529,XAS,BA.5.2,BE.1.1,BF.14,BE.1,BF.1,BA.2.11,BA.2.79,BF.12,BA.4.1.5,BA.4.1,BA.4,BA.2.73,BA.2.17,BA.2.37,BA.5.5.3,BA.2.23,BQ.1.23,BA.5.9,XBP,BA.5.2.36,XBU,BF.24,BF.7.21,BF.7.12,BF.7.26,BF.7.1,BF.7.24,BF.7.8,BF.7,BE.1.4.4,BE.1.4,BF.5,BF.6,BF.18,BF.8,BF.39,BA.5.2.1,BF.26,BF.4,BA.5.2.26,BA.5.1.11,BF.11.3,BN.1.3,BN.1.10,BN.1,BA.5,XN,BF.31,BA.5.1.23,BQ.1.15,BE.1.1.2,BE.1.1.1,BQ.1,BQ.1.14,BQ.1.31,BQ.1.33,BA.5.3.1,BA.5.1.24,BA.5.1.28,BA.5.1.8,BA.5.1.15,BA.5.1.3,BA.5.1.12,BA.5.1.22,BA.5.1.17,BA.5.1.6,BA.5.1,XAU,XQ,BF.3,XBD,BF.38,BF.7.7,BF.7.15,XM,BA.2.75.1,XAH,BQ.1.5,BQ.1.7,BA.1,BA.2.19,BA.1.17.2,BA.1.18,BA.1.7,BA.1.19,BA.2.43,BA.2.10,BA.5.3,BA.5.3.2,BA.5.1.10,BA.5.1.19,BA.5.1.1,BA.4.1.3,BA.1.14,BA.1.4,XAP,BA.2.16,BA.1.9,BA.1.1.11,BA.1.1.7,BA.1.1.18,BA.1.12,XV,BA.2.26,BA.2.3.20,CM.6,CM.9,BF.28,BA.5.11,BA.5.2.18,BA.4.6,BA.2.75.5,BN.5,BF.7.23,BF.7.10,XBJ,CR.1,BF.17,BA.5.2.57,BF.32,BA.2.15,BA.2.75,BA.2.21,BF.23,CE.1,XAM,BF.7.11,BK.1,BA.4.8,CC.1,AY.43,BA.1.1.13,BA.1.1.15,AY.46.6,BA.2.10.1,BF.7.6,BF.7.13,BF.7.13.2,BF.41,BF.7.9,BQ.1.2,BQ.1.13,BQ.1.13.1,CM.10,BF.7.14,BV.2,BA.5.2.20,BF.7.4,BA.5.1.34,BA.5.1.35,BA.5.1.16,BF.2,BA.5.5,BA.5.1.5,BA.2.67,BA.2.68,BA.2.38,BA.2.38.1,CL.1,XE,BA.2.12.1,BG.3,BA.4.1.2,BF.19,BQ.1.1.74,BQ.1.1,BQ.1.1.32,BQ.1.1.9,BQ.1.1.27,BQ.1.1.67,BQ.1.1.37,DT.3,BQ.1.1.47,BQ.1.1.1,BQ.1.1.46,BQ.1.1.19,BQ.1.1.66,BF.7.16,CH.1.1.11,CH.1.1,BQ.1.10,BQ.1.10.1,CM.11,BR.4,BA.2.12,BA.2.3.2,BQ.1.16,BA.2.10.3,CH.1,BQ.1.3,BF.38.3,BA.4.2,BA.1.1.6,BA.1.1.12,BA.1.1.14,AY.61,AY.38,AY.9,B.1.128,BA.1.17.1,others,sample_name,tool_name
23,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,0.02,0.02,0.02,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,0.01,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.4.3-23,freyja_v1.4.3
25,,,,,,,,,,,,,,,,,,,,,0.07,,0.03,0.05,0.33,,,,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.07,,,,,,0.01,,,,0.03,0.03,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-25,freyja_v1.4.3
27,,,,,,,,,,,,,,,,,,,0.4,0.18,0.13,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-27,freyja_v1.4.3
29,,,,,,,,,,,,,,,,,,,0.03,,0.01,0.08,0.01,0.04,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.02,,,0.02,0.02,,0.02,,,,,,,0.54,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-29,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,0.02,0.14,0.06,0.12,0.06,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,0.02,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,freyja_v1.4.3-31,freyja_v1.4.3
34,,,,,,,,,,,,,,,,,,,,0.15,0.09,0.14,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.04,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.04,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.4.3-34,freyja_v1.4.3
36,,,,,,,,,,,,,,,,,,,,,0.03,0.1,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,0.02,0.02,0.02,0.02,,,,,,,0.56,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,0.01,freyja_v1.4.3-36,freyja_v1.4.3
38,,,,,,,,,,,,,,,,,,,,0.26,0.03,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.03,0.03,,0.03,,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,freyja_v1.4.3-38,freyja_v1.4.3
40,,,,,,,,,,,,,,,,,,,,0.2,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.04,,,,,,,0.01,,,,,,,,,,,,,,,0.06,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.4.3-40,freyja_v1.4.3
42,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.05,0.02,,,,0.07,,,,,,,0.11,,,0.02,,,,0.02,,,,0.01,,,0.01,,,,,,,,0.04,,0.04,,0.01,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.4.3-42,freyja_v1.4.3
45,,,,,,,,,,,,,,,,,,,,0.17,,0.08,0.02,,,,,,,,,,,0.09,0.09,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-45,freyja_v1.4.3
47,,,,,,,,,,,,,,,,,,,0.17,0.07,,0.03,,,,,,,,,,,,,,0.05,0.05,,0.02,0.03,,,,,0.01,,,0.01,,,,0.01,,,0.01,0.01,,0.01,,,,,,,,,0.01,,,,,0.01,,0.01,0.01,,,,,,0.02,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,0.01,0.11,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-47,freyja_v1.4.3
49,,,,,,,,,,,,,,,,,,,,0.13,,0.06,,,,,0.05,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.03,0.01,0.01,,,,,,,,0.02,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.01,0.01,0.01,,,,,,,,,,,0.04,freyja_v1.4.3-49,freyja_v1.4.3
51,,,,,,,,,,,,,,,,,,,,0.02,,0.04,,,,,,,,,0.01,,,,,,,0.03,,0.05,,,,,,0.02,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,0.02,0.02,,,,0.03,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,0.04,,,,,,,0.01,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-51,freyja_v1.4.3
