timepoint,XBB.1.5,XBB.2.3.13,B,B.11,B.1,XBB.2.3.11,XBB.1.16,XBB.1.9,B.1.540,XBB.2.3.3,XBB.2.3.4,XBB,XBB.2.3.10,XBB.1.5.43,XBB.1.45,XBB.1.32,B.56,XBB.1.18,XBB.1.4,others,sample_name,tool_name
1,,,0.02,0.01,,,,0.97,,,,,,,,,,,,0.0,freyja_v1.5.3-1,freyja_v1.5.3
16,,,0.02,,,,,0.97,,,,,,,,,,,,0.01,freyja_v1.5.3-16,freyja_v1.5.3
31,,,0.01,,,,,0.97,,,,,,,,,,,,0.01,freyja_v1.5.3-31,freyja_v1.5.3
46,,,0.02,,,,,0.97,,,,,,,,,,,,0.01,freyja_v1.5.3-46,freyja_v1.5.3
61,,,0.01,,0.01,,,0.97,,,,,,,,,,,,0.01,freyja_v1.5.3-61,freyja_v1.5.3
77,,,0.02,,,,,0.96,,,,,,,,,,,,0.02,freyja_v1.5.3-77,freyja_v1.5.3
92,0.15,,0.03,,,,,0.82,,,,,,,,,,,,0.01,freyja_v1.5.3-92,freyja_v1.5.3
107,0.78,,0.03,,,,,0.18,,,,,,,,,,,,0.01,freyja_v1.5.3-107,freyja_v1.5.3
122,0.9,,0.02,,,,,0.01,,,,,,,,,,0.06,,0.01,freyja_v1.5.3-122,freyja_v1.5.3
137,0.96,,0.02,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-137,freyja_v1.5.3
153,0.96,,0.02,,,,,,,,,,,,,,,0.01,,0.01,freyja_v1.5.3-153,freyja_v1.5.3
168,0.48,,0.02,,,,,,,,,,,0.48,0.01,,,,,0.01,freyja_v1.5.3-168,freyja_v1.5.3
183,0.93,0.03,0.01,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-183,freyja_v1.5.3
198,0.45,,0.02,,,0.03,,,,0.45,,,,,,,,,0.03,0.01,freyja_v1.5.3-198,freyja_v1.5.3
213,0.01,,0.03,,,0.03,,,,,,0.03,0.9,,,,,,,0.0,freyja_v1.5.3-213,freyja_v1.5.3
229,,,0.03,,,,,,,0.97,,,,,,,,,,0.0,freyja_v1.5.3-229,freyja_v1.5.3
244,,,0.03,,,0.05,,,,0.92,,,,,,,,,,0.0,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,0.02,,0.07,,,,0.89,,,,,,,,,,0.02,freyja_v1.5.3-259,freyja_v1.5.3
274,,,0.02,,,,,,,,,,0.97,,,,,,,0.01,freyja_v1.5.3-274,freyja_v1.5.3
289,,,0.01,0.01,,0.02,0.1,,,0.84,,0.01,,,,,,,,0.01,freyja_v1.5.3-289,freyja_v1.5.3
305,,,0.02,,,,0.71,,,,0.26,,,,,,,,,0.01,freyja_v1.5.3-305,freyja_v1.5.3
320,,,0.01,,,,0.96,,,,,,,,,0.01,0.01,,,0.01,freyja_v1.5.3-320,freyja_v1.5.3
335,,,0.02,,,,0.97,,,,,,,,,,,,,0.01,freyja_v1.5.3-335,freyja_v1.5.3
350,,,0.03,,,,0.97,,,,,,,,,,,,,0.0,freyja_v1.5.3-350,freyja_v1.5.3
366,,,0.02,,,,0.97,,0.01,,,,,,,,,,,0.0,freyja_v1.5.3-366,freyja_v1.5.3
