timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,,,,,1.0,virpool_v763c212-1,virpool_v763c212
16,0.09,,0.01,,,0.89,virpool_v763c212-16,virpool_v763c212
31,0.1,,0.25,,,0.65,virpool_v763c212-31,virpool_v763c212
46,0.03,,,,,0.97,virpool_v763c212-46,virpool_v763c212
61,0.07,0.1,,,,0.83,virpool_v763c212-61,virpool_v763c212
77,0.06,,,,,0.94,virpool_v763c212-77,virpool_v763c212
92,,0.01,,,,0.99,virpool_v763c212-92,virpool_v763c212
107,0.04,0.07,,,,0.9,virpool_v763c212-107,virpool_v763c212
122,0.01,,,,,0.99,virpool_v763c212-122,virpool_v763c212
137,,,,,,1.0,virpool_v763c212-137,virpool_v763c212
153,0.11,,,,0.07,0.82,virpool_v763c212-153,virpool_v763c212
168,0.05,,,,,0.95,virpool_v763c212-168,virpool_v763c212
183,0.02,,,,,0.98,virpool_v763c212-183,virpool_v763c212
198,0.15,,,,,0.85,virpool_v763c212-198,virpool_v763c212
213,,0.08,,,,0.92,virpool_v763c212-213,virpool_v763c212
229,0.08,,,,,0.92,virpool_v763c212-229,virpool_v763c212
244,,0.06,,,,0.94,virpool_v763c212-244,virpool_v763c212
259,0.02,,,,,0.98,virpool_v763c212-259,virpool_v763c212
274,,,,,,1.0,virpool_v763c212-274,virpool_v763c212
289,0.07,,,,,0.93,virpool_v763c212-289,virpool_v763c212
305,0.21,,0.03,0.08,,0.69,virpool_v763c212-305,virpool_v763c212
320,0.13,,0.27,,,0.6,virpool_v763c212-320,virpool_v763c212
335,0.21,,,,,0.79,virpool_v763c212-335,virpool_v763c212
350,0.23,0.02,0.19,,,0.56,virpool_v763c212-350,virpool_v763c212
366,0.08,,0.16,,,0.76,virpool_v763c212-366,virpool_v763c212
