timepoint,XBB.1.5.34,XBB.1.3,XBB.1.29,BR.5,XBN,XBB.2.2,XBB.1.4.1,XBB.1.9,XBB.1.15,BQ.1.1.21,BF.23,EL.1,FL.2.1,FL.2.2,FY.3,XBB.1.16.6,XBB.2.3.5,FY.4,FL.6,XBB.3.4,FU.1,XBB.1.36,FY.2,FY.1,FT.1,XBB.1.25,XBB.1.9.3,XBB.1.22.2,FG.2,XBB.1.5.69,XBB.1.22,EK.4,EG.4,EU.1.1,XBB.1.5.23,FL.9,EG.1.3,BY.1.1,EG.1.1,FL.5,FL.10,XBB.1.5.12,XBB.1.5.62,FD.4,CN.2,XBB.1.5.16,XBB.1.5.63,XBB.1.5.19,XBB.1.38,XBB.1.9.4,BA.5.1.25,XBB.2.5,BR.3,BA.1.19,XBB.1.24.1,XBB.2.3.11,XBB.1.28,XBB.2.3.6,XBB.1.16.2,FE.1.2,XBB.2.3.2,XBB.2.3.7,XBB.1.5.68,XBB.1.16,XBB.2.3.9,XBB.2.3.1,EU.1,XBB.2.3,XBB.1.19,XBP,XBB.4,CB.1,XBB.1.5.3,XBB.2.3.3,XBB.2.9,FE.1,XBB.1.19.1,XBB.1.5.40,XBB.1.5.58,GA.2,XBB.1.5.55,XBB.1.5.57,XBB.1.5.52,XBV,XBB.3.1,XBB.1.18,XBB.1.35,BA.2.10.3,FL.1.1,XBB.1.5.54,EK.3,FL.3,XBB.1.5.60,XBB.6,B.1.471,B.1.563,EG.2,GB.1,XBB.1.5.49,BA.5.7,XBB.1.5.6,FD.1,B.1.177.41,B.1.1.422,AG.1,BN.1.3.10,XBB.1.5.31,XBB.1.5.10,XBB.1.5.43,XBB.1.16.5,XBB.1.16.1,C.36.1,FG.3,XBB.1.5.9,XBB.1.18.1,XBB.1.13,AY.103.1,CM.10,XBB.1.5.20,BA.2.35,DV.2,BT.2,B.1.576,BA.1.16.2,BF.6,XBB.1.5.14,GC.1,XBB.1.5.18,others,sample_name,tool_name
244,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,0.04,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.5,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,0.01,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,0.08,,0.04,,,,0.26,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,0.11,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,0.05,,,,,,0.01,0.04,,,0.05,,,,,,0.05,,0.01,,0.01,,,0.01,,0.02,,,,0.01,,0.01,0.01,0.29,,0.01,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.31,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.44,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,0.02,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,,,0.45,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-366,vlq_vd04ad36
46,,0.01,,,,,0.02,,,,0.02,0.02,0.04,,,,,,,0.02,,,,,,,,,,,,,,0.02,,0.02,,,,,0.37,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-46,vlq_vd04ad36
61,,,0.01,,0.01,,,0.25,,,0.02,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,0.04,,,,,,,,,,,,,,0.12,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,0.45,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,0.1,,,,,,,0.03,,0.01,,,0.01,,,0.01,,,,0.25,,,,,,0.08,,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,0.02,,,,,0.02,,,,0.02,,,0.02,,,0.01,,,,,,,,,,,,,,,0.24,,,,,0.03,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.03,,0.01,0.01,,,,,,,,,,0.51,vlq_vd04ad36-92,vlq_vd04ad36
