timepoint,XBB.1.5.6,XBB.1.5.60,XBB.1.29,XBB.4.1,XBN,XBB.2.5,XBB.2.2,XBB.1.4.1,XBB.1.15,BM.5,N.9,BA.2.75.4,BF.23,BA.1.17.2,BA.2.64,B.1.1,FL.2.1,XBB.2.3.5,FY.4,XBB.1.28,XBB.1.5.10,XBB.3.4,FE.1.2,XBB.1.36,FY.2,FY.1,FT.1,FD.3,XBB.1.25,XBB.2.9,XBB.1.9.3,FW.2,FE.1,EG.2,FZ.1.1,FG.2,XBB.1.5.69,XBB.1.5.59,XBB.1.22,EK.4,GA.2,EU.1.1.1,EG.4,XBB.1.5.43,EU.1.1,XBB.1.34,XBB.1.5.23,EG.1.3,XBB.1.5.54,XBB.2.3.1,CH.1.1.22,XBB.1.5.62,FD.4,XBB.1.5.52,XBB.1.19,XBB.1.5.63,XBB.1.5,XBB.1.35,XBB.1.38,XBB.1.9,BN.1.4.3,BU.1,XBB,BM.1.1.2,B.1.214.1,XBB.1.24.1,FW.1,XBB.2.3.6,FU.1,XBB.1.16.2,FL.9,XBB.1.5.2,FL.3.1,FL.10,XBB.1.9.5,XBB.1.9.4,XBB.6,EL.1,FY.3,XBB.2.3.11,XBB.1.5.3,XBB.2.3.2,XBB.2.3.3,XBL.1,EU.1,XBB.1.5.12,XBB.2.3,EM.1,B.1.1.294,XBB.1.5.14,BA.2.38,XBB.1.5.18,B.27,BQ.1.1.47,EK.2,XBB.1.5.46,B.1.127,BL.1.4,XBB.2.3.7,CU.1,B.1.473,XBB.1.9.1,B.1.1.141,FU.2,XBB.1.16.5,XBB.1.16.1,XBB.1.16,B.1.164,BQ.2,B.1.36.35,XBB.1.5.17,EG.5.1,XBB.1.5.24,BA.2.48,AY.7.2,XAP,XAY.1.2,BA.1,BF.9,AY.125,CH.1.1.17,others,sample_name,tool_name
259,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,0.01,,0.04,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.39,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,0.03,,,0.01,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,0.34,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,0.06,,,0.12,,,,0.31,,0.02,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.46,0.04,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.02,,,,,,,,0.01,,,0.13,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,0.57,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.7,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.02,0.76,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.65,,,,,,,,,0.02,,,,,,0.24,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,0.02,,0.24,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.03,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,0.01,,,0.37,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,0.01,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.02,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.35,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,0.01,,,,,0.01,,,,,,,0.02,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,0.47,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.13,,,,,,,,,,0.43,vlq_vd04ad36-92,vlq_vd04ad36
