timepoint,XAG,BA.5.1.4,BA.2.19,XAR,B.1.1.529,BA.2.28,BQ.1.26.2,BQ.1.33,BQ.1.1.26,BQ.1.1.21,BM.5,CU.1,BQ.1.15,AY.23.2,BA.5.2.53,BA.5.6.1,BA.5.2.26,BG.1,XZ,BF.23,BA.2.13.1,BD.1,BA.2.60,XAL,BA.2.3.6,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.1.1.15,BA.2.3.10,BA.2.53,BA.1.1,BA.1.1.4,XAB,BA.2.9.1,BA.2.72,BA.1.10,BA.2.3.9,BA.2.23.1,XP,BA.1.1.17,BA.2.9.2,XJ,BA.2.8,BA.2.6,BA.2.2.1,BA.1.14.1,BA.2.9,BA.1.1.16,XG,BA.2.47,BA.2.16,BA.1.1.13,BA.1.15.1,BA.1.1.14,BA.1.16.1,BA.1.15,BA.1.6,BC.2,BA.1.14,P.3,B.1.1,BY.1.1,BQ.1.27,CN.2,BF.41.1,BA.2.32,BA.1.2,XM,BA.5.1.25,BA.5.9,BA.2.80,BA.2.22,BU.2,CL.1.2,CM.7,XBB.2.2,CT.1,BF.11.3,BQ.1.1.23,DE.2,BN.1.4,BF.7.13.1,BR.3,BE.11,BA.5.6.4,BF.16,BF.13,BA.2.9.7,BA.5.3,BA.5.1.23,BA.2.20,BA.5.2.28,BA.2.30,BA.2.57,BA.1.1.18,BA.1.19,BA.2.62,BA.1.1.1,BA.2.10.1,BF.14,BA.5.5.3,BQ.1.25.1,BQ.1.1.64,BA.2.38.2,BF.26,BF.20,BA.5.1.1,BF.21,BF.5,BN.1.3.3,BA.5.2.36,BA.5.2.32,BA.5.2.59,BA.5.1.18,BF.4,B.1.428.2,BF.17,BF.3.1,BA.5.1.31,FY.2,CM.6.1,BA.5.1.5,BF.7.6,BA.5.1.26,BF.24,BF.9,BE.1.3,BQ.1.1.10,BQ.1.12,BA.5.1.29,BG.5,BA.4.3,BA.4.4,BA.4.1.1,BA.2.54,BF.1,BA.5.1.3,BF.7.5,BF.18,BF.29,BQ.1.2.2,FW.2,XBS,BQ.1.1.49,BF.12,BE.1.4.4,BF.39,BA.5.1.16,B.1.361,BM.1.1,BE.1.4.2,BF.7.9,BA.5.1.27,FL.3.3,BQ.1.1.15,BQ.1.3.2,BA.5.1.22,BA.4.1.2,XBF.9,B.1.1.138,BE.1.1.2,BA.5.1.30,CM.4,CM.1,CM.5,AY.43.3,CA.5,AY.43.6,BA.1.17.1,AY.33.2,AY.6,AY.23.1,AY.43.9,BA.1.1.12,BV.1,BA.2.12.2,BA.2.4,BA.1.15.2,BA.2.5,BA.2.9.3,BA.2.12,BA.2,CA.3.1,BQ.1.2.3,XBB.1.24.1,BF.5.5,BQ.1.31,BA.5.1.15,CW.1,BQ.1.1.18,BQ.1.1.3,BQ.1.1.63,BA.2.70,XV,BQ.1.1.19,BF.7.4,B.1.1.500,FC.1,B.1.36.2,others,sample_name,tool_name
3,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.04,0.02,0.04,0.04,0.03,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,0.01,,0.14,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.02,0.01,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,0.01,,0.02,,,,0.01,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,0.02,,,0.01,,,,,,,,,,0.09,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,0.01,,,,,0.04,,,,,,,,,0.03,,,,,,,0.02,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.57,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.01,,,,,,,,,,0.02,,0.02,,,,,0.04,,,,,,,,0.02,,,,,,,,,0.08,,,,,,,,0.02,0.01,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,0.01,,,,,,,,0.01,,,,0.01,0.02,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.01,0.01,0.01,,,,,,,0.01,0.07,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.53,vlq_vd04ad36-36,vlq_vd04ad36
38,,0.01,,0.01,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,,0.03,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,0.01,,0.02,0.03,,,,,,,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-38,vlq_vd04ad36
40,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,0.01,,,,,0.02,0.01,,,0.01,,,,,,0.04,,,,0.01,,0.01,0.01,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-40,vlq_vd04ad36
42,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.08,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,vlq_vd04ad36-42,vlq_vd04ad36
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,0.01,0.02,,,,,,,,,,,0.02,,,,0.01,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,0.02,,,,0.01,,,,,,,0.01,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-45,vlq_vd04ad36
47,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,0.06,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.03,,,,0.01,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.03,0.67,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,0.03,,,,,,0.01,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,0.02,0.01,0.01,0.01,,,,,,,,0.73,vlq_vd04ad36-49,vlq_vd04ad36
5,0.01,,,,0.01,0.01,,,,,,,,,,,,,0.01,,,0.03,0.02,,,,,0.02,,,0.02,,0.02,0.03,0.02,,,,,,,,,0.02,0.04,,,,,,,,,,0.04,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,0.63,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,,,0.01,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,,,,0.74,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,,0.02,,,,,,,,,,,,,,0.01,,0.02,,0.01,,0.01,0.02,0.02,0.02,,0.03,,,,,,,,,,,,,,0.08,,,,,,,,,0.03,,,,0.04,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-7,vlq_vd04ad36
9,,0.01,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,0.02,0.02,,0.02,0.02,0.03,,0.02,0.02,0.01,,0.01,,0.01,,,,0.02,0.03,0.03,,,0.17,,,,,,,,,,,0.02,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-9,vlq_vd04ad36
