timepoint,BA.5.9,BA.5.1.4,BA.2.19,XAR,BA.2.28,BQ.1.26.2,BN.1.3.5,DL.1,BQ.1.1.26,DM.1,BQ.1.1.21,CU.1,BF.7.13.1,BR.3,CA.3,BA.5.2.53,BA.5.11,BF.11.5,BA.2.75.4,B.1.1.431,BA.5.1.18,BG.1,BA.2.9.7,BF.23,BA.2.13.1,BA.5.3,BA.2.60,XAL,BA.4.4,BA.2.3.6,BA.2.20,BA.2.12.1,BA.1,BA.5.2.28,BA.2.30,BA.1.1.15,BA.2.9.4,BA.2.17,BA.2.52,BA.2.67,BA.2.3.1,BA.2.50,BA.2.3.5,BA.2.8,BA.1.1.16,BA.2.12,BA.2.39,BA.2.16,BA.1.1.13,BA.2.37,BA.2.5,BA.1.1.14,BA.5.1.3,BF.14,BK.1,BY.1.1,BQ.1.25.1,CN.2,XBT,CH.1.1.12,CM.5.1,BF.41.1,BA.2.32,BF.24,BA.2.40,BE.1.4.4,XAK,BF.20,BA.5.1.1,BA.5.1.25,BA.5.1.16,BG.6,BF.21,BE.1.3,BF.11.3,BA.4.6.3,DE.2,BN.1.4,BQ.1.1.69,BQ.1.2.1,BF.16,BA.5.2.32,BA.5.1.22,BF.4,BA.5.2.1,BA.5.1.23,BA.4.1.2,BA.2.10.3,BA.1.17.2,BF.1,BA.2.3.10,BA.1.15,BF.17,BF.18,BF.29,BQ.1.27,BA.5.2.63,XBM,BA.5.1.5,CC.1,BF.26,BA.5.1.26,BF.12,BE.1.1.2,BF.39,BA.5.2.9,BA.4,BQ.1.1.62,XBJ.2,BN.1.3.3,BM.2,CM.1,CM.5,BA.5.2.40,BF.13,BY.1,BD.1,BF.7.5,CM.6.1,BF.5.1,BA.5.2.19,BE.1.1,BF.7.9,BA.2.25,EG.2,EB.1,B.1.1.529,BA.1.20,BA.1.18,BA.1.17,BA.1.1.18,BA.1.1,BA.1.1.4,BA.1.15.3,BA.1.10,BA.1.1.17,XJ,BA.2.2.1,BA.1.1.1,BA.1.22,BA.1.16.1,BA.1.2,XM,BQ.1.16,BQ.1.1.15,BQ.1.13,BQ.1.3.2,BQ.1.1.5,BQ.1.5,BF.7.1,BF.7.6,BA.2.12.2,BA.2.63,BA.2.18,BA.2.9.2,XH,BA.1.13,BA.1.5,BA.2.75.2,BA.1.9,BA.2.51,DS.3,B.1.1.176,XBB.1.5.9,AY.43.6,AY.127,B.1.160.14,BF.1.1,B.1.1.406,B.1.438.1,B.1.1.15,B.1.110.2,BN.1.8,ED.2,BF.7.19,XBB.1.29,C.37.1,AA.6,others,sample_name,tool_name
3,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.01,0.04,0.05,,,0.03,,,0.01,,,0.09,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,0.05,,,,,,,,,,,,0.4,vlq_vd04ad36-3,vlq_vd04ad36
31,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,0.05,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.67,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,0.07,,,,,,,,,0.01,0.02,0.01,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.01,,,,,,,0.02,,0.01,,,,,,,,,0.02,,,0.09,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.02,0.02,,,,,,,,,,0.54,vlq_vd04ad36-36,vlq_vd04ad36
38,0.01,0.01,,,,,,,,,,0.01,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.11,,,,0.02,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-38,vlq_vd04ad36
40,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.04,,,,,,,,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.04,0.01,,,,0.03,,,0.02,,,,0.02,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,vlq_vd04ad36-40,vlq_vd04ad36
42,0.03,,,,0.01,,,,,,,,,,,0.02,,,0.03,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.01,0.01,,0.02,,,0.02,,,,,,0.01,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-42,vlq_vd04ad36
45,0.02,,,,,,,,,,,,,,,0.01,,0.05,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.02,,,,,,0.07,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.62,vlq_vd04ad36-45,vlq_vd04ad36
47,0.03,,,,,,0.02,,,,0.02,,0.01,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.01,,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.71,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,,0.02,,,,,0.02,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,0.01,0.01,0.01,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,0.02,,0.06,,0.01,,,,0.04,,,,,,,,,,,,0.03,,0.02,,,0.01,0.05,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.02,,,,0.64,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,0.01,,,,,,,,,,,,,,,,,,0.04,,0.02,,,0.02,,,,,,,0.01,0.02,,,,,,,,,0.02,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,0.03,,0.01,0.02,,,0.01,,,,0.02,,0.06,,0.06,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.53,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.05,,,0.02,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,0.01,0.02,0.03,,0.08,0.03,,,0.01,,0.02,,0.03,0.02,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-9,vlq_vd04ad36
