timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.12.1,BA.2.75,BA.2.9,BA.5,BA.5.1,BA.5.2.1,BF.14,BF.7,BN.1,BQ.1,CH.1.1,others,sample_name,tool_name
1,0.08,0.19,0.71,,,,,,,,,,,,,0.02,vaquero_v24d9211-1,vaquero_v24d9211
3,0.11,0.2,0.65,,,,,,,,,,,,,0.04,vaquero_v24d9211-3,vaquero_v24d9211
5,,,0.35,0.61,,,,,,,,,,,,0.04,vaquero_v24d9211-5,vaquero_v24d9211
7,,,0.37,0.5,,,0.12,,,,,,,,,0.02,vaquero_v24d9211-7,vaquero_v24d9211
9,,,0.57,0.28,,,0.11,,,,,,,,,0.04,vaquero_v24d9211-9,vaquero_v24d9211
12,,,0.23,0.71,,,,,,,,,,,,0.06,vaquero_v24d9211-12,vaquero_v24d9211
14,,,0.15,0.63,,,0.21,,,,,,,,,0.01,vaquero_v24d9211-14,vaquero_v24d9211
16,,,,0.76,,,0.21,,,,,,,,,0.02,vaquero_v24d9211-16,vaquero_v24d9211
18,,,0.07,0.66,,,0.26,,,,,,,,,0.0,vaquero_v24d9211-18,vaquero_v24d9211
20,,,,0.87,0.12,,,,,,,,,,,0.01,vaquero_v24d9211-20,vaquero_v24d9211
25,,,,,,,,0.49,0.24,0.16,,,,0.11,,0.0,vaquero_v24d9211-25,vaquero_v24d9211
27,,,,,,,,0.25,0.3,0.28,,,,0.17,,0.0,vaquero_v24d9211-27,vaquero_v24d9211
29,,,,,,,,0.24,0.29,0.34,,,,0.13,,0.0,vaquero_v24d9211-29,vaquero_v24d9211
31,,,,,,,,0.16,0.32,0.23,0.15,,,0.14,,0.0,vaquero_v24d9211-31,vaquero_v24d9211
34,,,,,,,,0.12,0.35,0.38,0.13,,,,,0.02,vaquero_v24d9211-34,vaquero_v24d9211
36,,,,,,,,0.12,0.23,0.51,0.14,,,,,0.01,vaquero_v24d9211-36,vaquero_v24d9211
38,,,,,,,,0.15,0.32,0.36,0.15,,,,,0.02,vaquero_v24d9211-38,vaquero_v24d9211
40,,,,,,,,0.37,0.22,0.39,,,,,,0.02,vaquero_v24d9211-40,vaquero_v24d9211
42,,,,0.17,,0.05,,0.07,0.19,0.39,,,0.13,,,0.0,vaquero_v24d9211-42,vaquero_v24d9211
45,,,,,,,,0.26,0.13,0.18,0.11,0.18,,,0.14,0.0,vaquero_v24d9211-45,vaquero_v24d9211
47,,,,0.01,,0.04,,0.25,,0.23,,0.13,0.19,0.16,,0.0,vaquero_v24d9211-47,vaquero_v24d9211
49,,,,,,,,0.22,,0.17,,0.23,,0.37,,0.0,vaquero_v24d9211-49,vaquero_v24d9211
51,,,,,,,,0.23,,0.02,,0.31,,0.44,,0.0,vaquero_v24d9211-51,vaquero_v24d9211
