timepoint,BA.5.2,CM.10,BN.1,BA.2.23,BA.5.1,BA.5.1.3,BF.14,BF.12,BM.1.1.3,BA.5.2.4,BE.1,XBJ,BA.5.2.1,BF.4,BF.17,BA.5.2.6,BN.1.3.4,BA.4.6,BF.2,BN.1.3,BA.2.75.6,BA.5.9,BF.7.1,BF.7,B.1,BA.2.16,BA.1.1.7,BA.1.1.11,BA.1.1,BA.2.9.2,BA.2.9,BA.1,BA.1.17.2,BA.1.17,BA.1.1.1,BA.2.3.11,BA.1.18,BA.5.2.20,BQ.1.1.5,BF.5,BA.4.8,BA.5.1.5,BQ.1.24,XBB.2,XBB.1,XBB,BM.4.1.1,XBB.1.3,BE.1.1.1,BQ.1.1.25,BA.2.75.5,BQ.1.33,BQ.1.31,BQ.1,BQ.1.1,BQ.1.1.31,BQ.1.1.45,BA.5.11,BA.2.11,BA.2.31,BA.2.29,BA.2.4,BA.2.56,BA.2.9.6,BA.2.12.1,BA.2.3.14,BA.2.3,BA.5.1.17,BA.2.3.20,BA.5.1.30,CM.11,BF.18,BF.3,BA.5,XAS,BA.2.75.2,BA.4,BA.4.1.2,BA.2,BE.1.1,BA.4.1,BA.5.1.22,BF.1,BA.5.3,BE.1.4,BA.2.9.5,B.1.1.529,XQ,XAJ,BA.5.3.1,BA.5.5,BA.2.24,BA.2.79,BA.2.19,BA.1.13,B.1.378,B.1.215,BQ.1.10,BF.11,XBF.10,BQ.1.1.18,BF.7.19,BQ.1.1.52,BQ.1.1.1,DT.3,BQ.1.1.64,BQ.1.1.53,BQ.1.1.32,BQ.1.1.17,BQ.1.1.9,BQ.1.1.74,BQ.1.1.67,BQ.1.1.47,BQ.1.1.66,BQ.1.1.72,CH.1.1,CH.1.1.3,CH.1.1.1,BF.7.4,BN.1.10,BQ.1.23,BF.39,BF.6,BE.1.1.2,BM.1.1.1,BF.23,BA.2.75.1,BA.5.1.33,BA.1.12,B.1.617.2,AY.46.6,AY.79,AY.112,AY.127,BA.5.1.23,XBD,BA.5.2.52,BA.5.2.26,BA.5.2.27,BF.7.5,BQ.1.3.2,BQ.1.1.46,BF.16,BF.7.22,BA.5.1.10,BF.11.3,BF.7.24,BA.5.5.3,XAP,BA.1.6,BA.1.1.12,BA.2.41,AY.43,BA.1.20,BN.1.3.3,BF.7.9,BQ.1.20,BA.2.3.5,BA.2.22,others,sample_name,tool_name
23,,,,0.07,0.05,,,,,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.09,,,,,,0.14,,,,,,,,,0.02,0.47,,,,,0.02,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-23,freyja_v1.4.3
25,0.04,,,0.05,0.17,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,0.25,,,,,,0.04,,,,,,,,,,,,0.04,,,0.11,0.04,0.03,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-25,freyja_v1.4.3
27,0.07,,,,0.13,0.13,0.06,,,,0.05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,,,,,,,,,0.02,,,0.02,,,0.13,0.02,,0.03,0.04,,,,,0.04,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-27,freyja_v1.4.3
29,0.08,,,0.03,0.09,0.09,0.07,,,,0.01,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.09,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.3,0.03,,,,,,,,,,,0.01,freyja_v1.4.3-29,freyja_v1.4.3
31,0.1,,,0.07,0.12,0.12,0.15,,,,,,0.04,0.04,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.4.3-31,freyja_v1.4.3
34,0.19,,,0.02,0.23,,0.12,,,,0.02,,0.18,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-34,freyja_v1.4.3
36,0.26,,,0.02,0.06,0.06,0.1,,,,0.01,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.06,,,,,,,,0.07,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-36,freyja_v1.4.3
38,0.27,,,,0.1,0.1,0.11,,,,,,0.06,0.06,,,,,,,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-38,freyja_v1.4.3
40,0.22,,,,0.06,0.06,0.03,,0.02,,0.02,,0.02,0.02,,0.02,,,,,0.01,,0.03,0.03,,,,,,,,,,,,,,0.02,,0.04,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,0.06,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-40,freyja_v1.4.3
42,0.2,0.12,0.09,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-42,freyja_v1.4.3
45,0.14,,0.07,,0.05,0.05,0.07,,,,,,0.06,0.06,,,,,,,,0.03,0.05,0.05,,,,,,,,,,,,,,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,freyja_v1.4.3-45,freyja_v1.4.3
47,0.15,,0.06,,0.02,0.02,0.03,0.03,,,,,0.02,0.02,,,0.03,,,,,0.08,0.05,0.05,,,,,,,,,,,,,,0.02,0.06,,,,0.02,0.04,0.04,0.04,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.05,0.02,0.02,0.02,0.01,0.06,freyja_v1.4.3-47,freyja_v1.4.3
49,0.15,,,0.02,,,0.06,,,,,,,,,,,,,0.03,,,0.05,0.05,,,,,,,,,,,,,,,,,,,0.04,0.02,0.02,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,0.08,freyja_v1.4.3-49,freyja_v1.4.3
51,0.05,,0.01,,,,0.04,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,0.02,0.02,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,freyja_v1.4.3-51,freyja_v1.4.3
