timepoint,BA.5.9,BF.21,BA.5.1.4,BA.2.28,EA.2,BQ.1.26.2,BF.7.17,CM.7,BW.1.1.1,DL.1,BF.7.19.1,BQ.1.1.47,BQ.1.1.26,BA.5.1.28,BQ.1.1.21,BM.5,BA.5.2.54,BQ.1.1.15,BF.33,BQ.1.1.10,DE.2,CU.1,BM.3,BE.11,CM.5,CP.1,BA.5.2.53,BA.5.11,BF.11.5,BF.13,BF.7.10,BL.3,BM.1.1.3,BA.5.1.18,BA.5.6.1,BF.23,BA.2.60,BA.2.20,BA.2.54,BA.2.57,BA.4.1,AY.71,AY.99.2,BA.2.67,XAB,BA.2.8,BA.2.47,BA.2.39,BF.17,BA.5.1.8,BF.14,A.30,BK.1,XBB.2.3.5,BQ.1.2.2,BY.1.1,BQ.1.25.1,BQ.1.27,CN.2,BN.1.3.10,XBT,XBK.1,CM.5.1,BF.41.1,BF.24,BF.20,BF.39,BA.5.1.25,BA.5.1.2,BA.2.19,BA.4.6.2,BA.5.6.4,BA.2.9.7,BG.5,BA.2.13.1,BA.5.3,BD.1,XAL,BA.2.3.6,BA.4.1.2,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.5.2.28,BA.2.41,BA.1.17,BA.1.16,BA.1.1.15,BA.2.3.10,BA.2.53,BA.2.9.4,BA.1.19,BA.1.1,BA.1.1.4,BA.2.62,BA.1.10,BA.1.17.1,BA.1.1.17,BA.2.2.1,BA.2.9,BA.1.16.2,BA.1.1.16,BA.2.16,BA.1.1.13,BA.1.15.1,BA.1.22,BA.1.15,BA.1.6,BC.2,BA.1.14,A.23.1,XM,BA.5.1.16,BE.10,BQ.1.33,BN.1.3.3,BA.5.12,BN.1.4,BF.7.13.1,BN.1.3.1,BF.7.9,BQ.1.10,BA.5.2.29,BF.28,BA.5.8,BF.4,BA.2.12.1,BF.1,BA.2.18,BF.3.1,XBB.1.36,BA.5.1.5,BF.26,BF.7.19,XAG,AY.85,BQ.1.9,BA.4.4,BA.2.72,BA.2.9.2,XJ,BA.1.1.14,BA.2,BQ.1.1.38,B.1.1.27,BQ.1.1.60,BA.5.1.26,BA.5.1.1,BE.1.4.1,BA.5.1.30,DM.1,BF.16,BA.2.75.5,BA.5.1.22,BA.5.1.23,BA.5.1.3,BF.5.5,BA.5.2.19,BA.4.1.5,CB.1,BG.4,BA.4.1.1,BA.2.12.2,BA.1.1.18,BA.4,BE.1.1,BF.7.22,BA.2.23.1,BA.1.1.1,BE.1.2,BF.29,BE.1.4.4,BG.6,BA.2.34,BA.2.5,BQ.1.1.13,XAJ,BE.1.4,BA.5.1.24,BA.1.15.3,XP,BA.1.16.1,B.1.1.421,BQ.1.1.18,BF.7.5,XBB.8.1,BA.1.5,AY.57,BE.1.2.1,AY.32,BQ.1.3.2,B.1.1.375,AY.43.5,others,sample_name,tool_name
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.01,0.03,0.18,,,0.03,0.02,0.02,,,,,0.01,,,0.01,0.02,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,0.01,0.53,vlq_vd04ad36-3,vlq_vd04ad36
31,,0.01,,,,0.01,,,,,,,,,,,,,0.01,,0.02,0.01,,,,,,0.01,0.01,,,,,,0.01,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,0.02,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.04,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,,,,,,,,,,,,,,0.01,0.12,,0.01,,,,,,,,,,,0.02,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,0.01,,,,,0.02,,,0.03,0.01,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-36,vlq_vd04ad36
38,0.02,,0.01,,,,0.01,,,,,,,,,,0.01,,,,,0.01,0.01,0.01,,,0.02,,,,,,,,,0.01,,0.01,,,,,,,,,,,0.01,,0.19,,,,,,0.01,,,,,,,,,,0.01,0.01,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-38,vlq_vd04ad36
40,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,0.02,,0.02,,0.02,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-40,vlq_vd04ad36
42,0.02,,,,,0.01,,,,,,,,,0.01,,,,0.01,,0.01,,,0.01,0.08,,,0.02,,0.02,,,0.01,,,0.03,,,,,,,0.01,,,,,,,,0.05,,,,,,,,0.02,0.02,,,,0.01,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-42,vlq_vd04ad36
45,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.13,,,,,,,,,0.01,0.04,,,,,,,,,,,,,0.01,,0.11,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-45,vlq_vd04ad36
47,0.05,,,0.01,,,,,,0.01,,0.01,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.04,,,,0.01,0.01,,,,,0.01,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,,0.01,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.67,vlq_vd04ad36-47,vlq_vd04ad36
49,,,0.01,,,0.01,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.01,,,0.77,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,0.01,,,,0.01,,,0.01,,,,,0.02,,,,,0.03,0.01,,0.02,,,,0.01,,,0.02,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.52,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,0.01,,,,,,,,,,0.01,,,0.02,,0.01,,,,,,,,,,0.01,0.01,,,,,0.01,,,,,,,,,,,,,,,0.04,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,0.01,,,,,,,,0.01,,,,,,,,,,0.01,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,0.01,0.02,,,,,,,,0.69,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,0.02,,,,,,0.02,0.01,0.01,0.01,0.01,,0.01,,,,0.04,,,,,,0.02,,,0.01,,0.02,0.05,,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.01,,,0.03,0.02,0.02,0.01,,,,,0.04,,,,,0.06,0.02,,0.06,0.01,,0.03,,,0.01,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,0.51,vlq_vd04ad36-9,vlq_vd04ad36
