timepoint,B.1.1.529,XM,XJ,XAD,XZ,XAP,XAH,B.1.617.2,FL.1.3,FL.1,FW.1,BF.14,BQ.1.5,BA.5.1.5,DL.1,B,B.31,B.41,B.29,B.3,B.40,A,B.60,B.61,A.5,B.42,B.23,B.20,B.27,B.26,B.55,B.19,B.6,B.57,B.11,B.1.14,BE.1,BE.1.4.1,XBP,BE.1.4,BE.4,BA.5.3.1,XBS,XBR,BE.1.4.4,XBE,XAU,BA.5,BA.5.2,BA.2.11,BA.2.23,BA.2.77,XN,BA.2.23.1,XBQ,BF.11.3,BA.5.2.4,BF.17,XBD,BZ.2,BA.5.2.2,BA.5.2.26,BA.5.2.46,BA.5.2.8,B.1.1.161,XAE,B.1.627,XAM,XG,XAG,XQ,XR,XU,BA.5.5.3,BE.10,BA.4.1.2,BA.1.21.1,BA.1.3,BA.1.16,BA.1.17,BA.1.1,BA.1.18,BA.1.13,BA.1.14.1,BA.1.5,BA.1.14,BA.1.9,BA.1.19,BA.1.21,BA.1.17.2,BA.1.6,BA.1.4,BA.1.7,BA.1.12,BA.1.17.1,BA.1.1.16,BA.1.1.1,BD.1,XP,BA.1.15.3,BA.1.16.1,XS,XF,BA.1.1.5,BC.1,BA.1.15.2,BA.1.1.9,BA.1.8,BA.1.1.7,BA.1.1.10,BA.1.1.12,BA.1.1.11,BA.1.1.6,BA.1.1.13,BA.1.1.14,BA.1.15,BA.1,B.1.620,B.1.623,B.1.258.12,BA.5.9,B.1.1.374,BA.1.1.8,BA.1.1.2,BA.1.1.3,BA.1.23,BC.2,BA.1.1.17,XV,BA.1.1.18,XAQ,XAL,BA.1.20,BA.5.2.40,XCA,FB.2,A.23,B.18,B.28,B.53,B.12,B.45,B.51,B.4,B.10,B.46,B.47,B.5,A.23.1,A.4,A.24,A.26,A.25,A.3,A.12,A.19,A.21,A.18,A.11,A.2.3,A.2.2,A.7,A.6,B.4.7,B.4.4,B.43,A.1,B.4.5,B.6.6,A.2,B.4.6,B.3.1,BA.3.1,XAK,BA.3,AY.57,AY.48,XE,XAF,XY,B.1.1.98,BA.1.15.1,BA.1.14.2,BA.1.13.1,BA.1.1.15,BE.3,XW,XAA,XBK.1,XBK,XAB,DB.1,B.1.177.89,BQ.1.1.34,XD,FB.1,BA.1.1.4,others,sample_name,tool_name
23,,,,0.16,0.16,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-23,freyja_v1.4.3
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,0.03,0.03,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.21,,,,,0.08,freyja_v1.4.3-25,freyja_v1.4.3
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.4.3-27,freyja_v1.4.3
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.89,freyja_v1.4.3-29,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-31,freyja_v1.4.3
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-34,freyja_v1.4.3
36,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-36,freyja_v1.4.3
38,,,,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,freyja_v1.4.3-38,freyja_v1.4.3
40,,,,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,0.01,0.01,0.04,,,0.02,,,,,,,,,,0.01,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.04,0.04,0.01,,,,,,,0.53,freyja_v1.4.3-40,freyja_v1.4.3
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.26,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-42,freyja_v1.4.3
45,,,,,,,,,,,,0.09,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,freyja_v1.4.3-45,freyja_v1.4.3
47,0.01,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,freyja_v1.4.3-47,freyja_v1.4.3
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,0.05,0.05,0.05,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,,,,,,,,0.05,,,0.05,,,,,0.01,,0.4,freyja_v1.4.3-49,freyja_v1.4.3
51,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,0.02,,,,0.02,0.03,,,0.03,0.03,0.03,0.01,0.03,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.19,,,,0.39,freyja_v1.4.3-51,freyja_v1.4.3
