timepoint,B.1.1.529,XAQ,XJ,XM,B.1.617,XAH,XAP,XZ,XAD,XAT,BF.14,BQ.1.5,BA.5.1.5,GA.7.1,BA.5.3.1,BE.1,BE.1.4.1,BE.4,XBR,BE.1.4.4,BE.1.4,XBS,XBP,XBE,BA.2.11,BF.17,BA.5.2.4,BA.2.23,BA.2.23.1,BA.5.2,XAU,XN,BA.2.77,BW.1.1.1,BW.1.1,BW.1.2,XBD,XBQ,BF.11.3,BW.1,BA.5.2.59,BA.5.2.2,BA.5.2.26,BA.5.2.8,BZ.2,B.1.1.161,B.1.1.417,XAE,B.1.627,BA.5.9,BE.3,BA.5.5.1,XG,XAM,XAG,XQ,XU,XAR,XR,BA.4.1.2,XT,BE.10,BA.1.17.1,BA.1.17,BA.1.17.2,BA.1.3,BA.1.21.1,BA.1.1,BA.1.12,BA.1.19,BA.1.18,BA.1.14.1,BA.1.5,BA.1.16,BA.1.13,BA.1.14,BA.1.9,BA.1.21,BA.1.7,BA.1.6,BA.1.2,BA.1.4,BA.1.22,BC.1,BA.1.1.1,BD.1,XF,XP,XS,BA.1.15.3,BA.1.16.1,BA.1.1.16,BA.1.1.5,BA.1.15.2,BA.1.1.9,BA.1.15,BA.1.1.7,BA.1.1.10,BA.1.1.12,BA.1.1.11,BA.1.1.6,BA.1.1.13,BA.1.1.14,BA.1.8,BA.1,B.1.620,B.1.623,B.1.258.12,B.1.1.374,XK,BA.1.1.17,BA.1.1.8,BA.1.1.2,BC.2,BA.1.1.3,XV,BA.1.1.18,XAL,BA.1.23,BA.1.20,BA.1.24,XCA,FB.1,FB.2,B.1.1.342,BA.3.1,XAK,BA.3,B.1.617.2,AY.48,BA.1.14.2,BA.1.13.1,BA.1.15.1,BA.1.1.15,XE,XAF,XW,XAA,XBK.1,XBK,XBV,XAB,B.1.177.89,,BW.1.1.2,XY,BQ.1.1.34,BF.42,XD,P.5,BA.1.1.4,others,sample_name,tool_name
23,,,,,,0.16,0.16,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,freyja_v1.5.3-23,freyja_v1.5.3
25,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,0.08,freyja_v1.5.3-25,freyja_v1.5.3
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.5.3-27,freyja_v1.5.3
29,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,freyja_v1.5.3-29,freyja_v1.5.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.5.3-31,freyja_v1.5.3
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-34,freyja_v1.5.3
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,freyja_v1.5.3-36,freyja_v1.5.3
38,,,,,,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,freyja_v1.5.3-38,freyja_v1.5.3
40,,,,,,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,0.02,,0.01,0.01,,0.01,0.01,,,,,,0.03,,,,,,,,,,,,,,,,0.01,0.01,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.03,0.03,0.03,0.01,,,,,,,,,,0.51,freyja_v1.5.3-40,freyja_v1.5.3
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.26,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-42,freyja_v1.5.3
45,,,,,,,,,,,0.09,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,freyja_v1.5.3-45,freyja_v1.5.3
47,0.01,0.01,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,freyja_v1.5.3-47,freyja_v1.5.3
49,,,0.04,,,,,,,,,,,,,,,,0.01,,,0.01,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.04,0.04,0.04,,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.01,0.01,0.01,,,,,,,,,,,0.04,0.04,,0.04,,,,0.04,,,,0.04,,,,,,0.4,freyja_v1.5.3-49,freyja_v1.5.3
51,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.03,,0.03,,,0.03,,,0.03,0.01,0.01,0.01,,,0.02,0.01,0.03,0.03,0.03,0.03,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.19,0.02,,,,0.41,freyja_v1.5.3-51,freyja_v1.5.3
