timepoint,BA.5.2,XBB.1,BF.7,BA.5.9,BA.5.2.1,BQ.1,BN.1.3.3,BA.5,DS.3,BQ.1.1,BA.5.1,BN.1.3,XBU,BF.14,XBB.1.3,BF.7.6,BN.1.2.3,BF.11,BF.7.9,BQ.1.1.25,BQ.1.22,BA.5.11,CR.1,BE.1.2,BE.1.1,BA.2.23,BA.2.12.1,BE.1,BF.1,BA.5.5,BA.4.1,BA.4,B.1,BF.7.1,CH.1,BQ.1.1.31,BQ.1.1.44,BQ.1.1.72,BQ.1.1.45,BQ.1.10,BF.7.19,BQ.1.24,BQ.1.1.46,BF.7.5,BF.7.4,BQ.1.1.18,BQ.1.1.3,BQ.1.1.15,XBF,BN.1.3.4,XBB,XBB.2,BA.5.1.3,BA.2.76,BN.5,BA.2.75.5,BF.4,BA.2.13,BA.5.3,BF.5,BA.5.1.23,BA.5.1.17,BF.18,BA.5.2.20,BY.1.1,BA.2.75.1,CC.1,BA.5.2.6,BA.5.3.1,BA.5.2.26,BF.35,BA.5.1.21,BA.5.2.8,BA.2.16,BA.1.1,BA.1,BA.2.9,BA.2.3.9,BA.1.1.1,B.1.535,XAT,XM,XAR,BA.2,BF.39,BF.6,BN.1.3.1,BA.5.2.27,CT.1,BA.4.8,BN.1.10,BN.1,BF.24,B.1.76,BA.2.10,B.1.1.529,BE.1.1.1,BE.1.1.2,BL.1,BA.1.1.7,BA.1.1.11,BA.2.4,BA.2.3,BA.2.3.2,BA.2.12,BA.4.1.2,XAS,BA.2.87,BA.1.17,BA.2.9.2,XV,B.1.617.2,BA.1.13,AY.43,BA.1.17.2,AY.46.6,BA.1.18,BA.5.2.3,BA.2.45,BA.2.56,BA.2.3.20,BM.1.1.3,BA.5.2.54,BA.4.6,BA.5.1.11,BF.11.3,BN.4,BA.5.1.5,BA.2.75.2,BA.5.1.30,BA.5.2.58,others,sample_name,tool_name
25,0.07,,,,0.02,,,,,,0.07,,,,,,,,,,,,,,0.13,0.12,0.04,0.05,0.03,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.02,,,,,0.07,0.02,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-25,freyja_v2.0.0
27,0.03,,,,0.14,,,0.11,,,0.24,,,0.05,,,,,,,,,,,0.14,0.07,0.06,0.04,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-27,freyja_v2.0.0
29,0.08,,,,0.04,,,0.26,,,0.1,,,0.08,,,,,,,,,,,0.08,0.04,,0.04,0.05,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.04,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-29,freyja_v2.0.0
31,0.13,,,,0.08,,,,,,0.13,,,0.12,,,,,,,,,,,0.1,0.04,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.02,,,0.08,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.03,,,,,,,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-31,freyja_v2.0.0
34,0.16,,0.01,,0.04,,,0.09,,,0.12,,,0.11,,,,,,,,,,,0.1,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.12,,,,0.04,,,0.01,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.04,freyja_v2.0.0-34,freyja_v2.0.0
36,0.24,,0.02,,0.06,,,,,,0.22,,,0.1,,,,,,,,,,,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,0.06,0.06,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,freyja_v2.0.0-36,freyja_v2.0.0
38,0.28,,0.03,0.03,0.05,,,,,,0.09,,,0.11,,,,,,,,,,,0.05,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-38,freyja_v2.0.0
40,0.21,,0.02,,0.05,,,0.01,,,0.09,,,0.03,,,,,,,,,,,0.02,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.09,,0.04,0.04,0.05,,,0.03,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,,,,,,,0.04,0.03,0.01,0.02,freyja_v2.0.0-40,freyja_v2.0.0
42,0.21,,0.02,0.03,0.02,,,,,,0.04,,,0.05,,,,,,,,0.01,0.02,0.01,0.02,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.04,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,0.03,0.05,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,0.03,0.02,0.02,,,,,,,0.03,freyja_v2.0.0-42,freyja_v2.0.0
45,0.12,0.02,0.05,0.04,0.03,,,,,,0.06,0.05,0.02,0.09,,0.01,,,,,,0.03,,,,,,,,,,,,0.05,,,,,,,,0.04,,,,,,,,,0.02,0.02,0.06,,,,0.03,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,freyja_v2.0.0-45,freyja_v2.0.0
47,0.13,0.1,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-47,freyja_v2.0.0
49,0.13,0.02,0.09,,,0.14,,0.02,,0.05,0.02,,,0.05,,0.01,,,,,,0.02,,,,,,,,,,,,0.09,,0.05,0.05,,0.05,,,,,0.03,0.01,,0.02,,,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,0.03,freyja_v2.0.0-49,freyja_v2.0.0
51,0.09,0.01,0.06,,,0.02,,0.02,,0.05,,,,0.04,,,0.01,,,,0.01,,,0.01,0.01,,,,,,,,0.01,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-51,freyja_v2.0.0
