timepoint,BA.5.9,BA.2.19,B.1.621,AY.74,XBB.1.5.60,BR.2,CH.1.1.25,XB,CR.1,BU.1,CP.2,BM.2,XBC.2,DE.2,N.9,BA.5.2.62,BR.1.2,B.1.208,BA.5.2.23,B.1.416,BQ.1.1.3,BG.5,B.1.630,BA.5.3,BA.4.1.2,BA.1.20,BA.2.41,BA.1.1,B.1.640.1,BA.1.1.13,BF.17,BA.5.2.11,BF.14,B.1.466,B.1.1.434,B.1.160.25,B.1.177.65,B.1.427,B.1.160.28,XBB.2.3.5,XBB.1.36,FD.1.1,CH.1.1.20,XBB.1.5.57,XBB.1.5.67,XBT,XBB.1.5.52,XBK.1,BQ.1.1.39,CH.1.1.6,AY.99.1,BF.38,BF.7.6,CH.1.1.18,B.1.618,XAR,BM.2.1,BF.7.17,BW.1.1.1,BA.4.6.2,BM.3,BQ.1.19,BF.7.13.1,XAW,AY.23.2,CA.3,B.1.438,BA.5.2.36,BE.4.1,BF.7.10,BG.1,BA.5.3.1,BA.2.20,AY.7.1,B.1.1.254,B.1.637.1,AY.25.3,B.1.1.15,BA.5.1.7,A.30,B.1.490,B.1.1.430,B.1.466.1,B.1.1.351,Z.1,B.1.1.420,B.1.523,P.1,XBB.2.3.11,GE.1,XBB.3.4,FE.1.2,XBF.10,EY.1,BA.5.5.3,XBB.1.25,XBB.1.5.40,XBB.1.33,XBB.1.7,EG.1.3,DN.1.1.2,EW.1,DY.3,XBB.1.19,EM.1,BA.2.3.22,FM.1,DS.2,CH.1.1.7,AY.43.4,B.1.177.24,XAG,BA.5.1.4,BA.4.6.3,B.1.78,CL.1,BE.4.2,B.1.36.22,BA.5.2.32,B.1.1.431,BF.23,BD.1,XAL,BA.1.17.2,BA.1.18,BA.2.3.10,BA.1.10,AY.126,AY.121.1,BA.1.22,AY.104,BA.5.1.31,AT.1,B.1.1.336,BK.1,P.1.14,P.3,B.1.1,XBB.1.24,B.1.491,BS.1.1,FA.2,BQ.1.1.28,DL.1,BQ.1.1.26,DM.1,BQ.1.1.21,BN.3,BA.5.2.54,BQ.1.1.10,B.1.1.483,CU.1,BQ.1.14,B.1.91,BA.5.2.1,BA.4.1,BA.2.48,AY.4.1,BA.2.9,BA.5.1.8,B.1.1.115,B.1.1.422,B.49,B.1.1.176,B.1.1.217,B.1.597,B.1.177.84,XBB.1.28,FV.1,B.1.1.325,FN.1,BN.1.3.10,CH.1.1.9,BF.41.1,B.1.44,BF.24,BF.36,BQ.1.1.47,BQ.1.23,BQ.1.1.67,BN.1,BA.5.2.53,BA.5.1.18,AY.122.1,BF.3.1,FR.1,BQ.1.1.64,BQ.1.11.1,BQ.1.1.38,BA.5.2.63,CM.6.1,BF.26,BA.5.5.2,BU.2,BE.9,BQ.1.33,XBB.1.29,BQ.1.1.13,CM.1,BT.2,BA.2.9.7,BA.2.13.1,BF.1,BA.2.67,AY.47,AY.98,B.1.617.1,BQ.1.28,EV.1,XBB.1.22.2,XBB.1.5.68,GA.2,FD.4,XBB.1.5.19,BQ.1.1.60,FL.4,EA.2,BQ.1.26.2,BN.1.3.7,BF.33,B.1.1.425,B.1.36.7,BN.1.5,BA.5.11,BF.11.5,BA.2.75.4,XZ,B.1.621.1,BA.1.17,AY.4.6,B.1.632,XA,B.1.36.9,B.1.177,XBB.2.7.1,CH.1.1.23,BN.1.5.2,BQ.1.1.53,B.1.1.410,B.1.120,BA.2.32,BF.20,BA.2.28,BQ.1.9,XBJ.2,BQ.1.13.1,BQ.1.10.3,CT.1,B.1.36.23,BQ.1.1.72,BF.11.2,B.1.637,BA.4.3,BA.1.1.15,BA.1.1.18,BA.2.3.13,AY.75,AY.41,AY.25,BA.2.8,BA.2.47,BA.1.1.14,P.6,B.1.470,B.1.218,B.1.1.379,XBB.1.28.1,XBB.2.3.2,BQ.1.27,B.1.1.327,XBF.7,BN.1.10,BQ.1.1.49,B.1.1.87,BA.5.2.19,BJ.1,B.1.1.529,BQ.1.1.27,DC.1,BA.5.6.4,BA.1,BA.2.57,BA.2.9.4,BA.2.9.1,B.1.1.397,XBB.1.5.2,CN.2,ER.1.1,BA.5.1.25,CM.8.1.2,BM.5,BA.5.2.57,XBN,CK.2,BF.7.19.1,CV.1,BR.3,DB.2,BA.5.2.29,A.29,B.1.177.5,B.1.234,FT.1,BF.39,DJ.1.1,BN.1.4.4,BA.5.6.1,BA.5.1.24,XAH,B.1.640,AY.7.2,BA.2.3.5,BA.1.1.11,BA.1.1.1,C.1,B.1.1.302,XAK,BF.21,BA.5.1.29,BA.5.7,FW.1,XBB.1.22,CH.1.1.12,CP.3,BQ.1.2.1,BA.2.75.10,XU,BA.2.16,B.1.1.10,AK.2,B.1.1.519,XBB.2.3.4,XBB.1.5.10,N.2,XBB.2.8,BA.2.44,AY.118,AY.4.2,BA.1.4,G.1,B.1.596,B.1.280,FY.2,EK.2,XBB.1.5.6,BN.1.2.1,BF.11.4,BN.1.4,B.1.1.82,B.1.1.7,P.2,BN.1.3.2,EK.3,BE.1.4.1,XAY.1.2,BL.2.1,CP.1.3,CP.8,BA.5.6.3,BA.1.19,AY.88,XP,XBB.2.3.1,BA.1.17.1,BA.2.23.1,XV,B.1.1.4,BM.1.1.3,Q.6,BM.1.1.5,XE,others,sample_name,tool_name
3,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.24,,,0.03,,0.03,0.05,,,,0.06,0.01,,,,0.02,0.02,,,,0.02,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.04,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,,0.01,,0.01,,,0.01,0.02,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.04,,,,0.02,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-34,vlq_vd04ad36
36,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,0.11,0.01,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.07,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-36,vlq_vd04ad36
38,0.02,0.01,,0.02,0.02,,,0.01,,0.07,0.04,,0.02,,0.01,0.04,0.02,0.02,0.07,0.02,0.01,,0.02,,,,0.01,,0.03,,,0.02,,0.01,0.02,0.03,0.02,0.02,0.02,,,,0.02,,,0.02,0.02,,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-38,vlq_vd04ad36
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.02,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.06,,,0.04,,0.06,,,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,0.06,,,,0.03,,,0.03,,0.01,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.03,,0.03,0.02,,,,,0.02,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-40,vlq_vd04ad36
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.06,,0.01,0.04,,0.03,0.06,,,,,,,,0.02,,,,,0.02,0.02,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-42,vlq_vd04ad36
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-45,vlq_vd04ad36
47,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.03,,,,,0.02,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,0.01,,,0.02,0.02,,0.03,0.02,,,,0.02,,,,,,,,0.03,,,,0.03,,,,,0.01,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.01,,,0.02,0.03,,,,,,,,,,,,,0.02,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.18,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,0.02,,,,,,,,0.03,,,,0.02,,0.02,0.02,,0.01,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,0.03,,,,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.05,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.02,0.02,,0.02,,,,,,,,,,,0.13,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.01,,0.02,,0.02,0.03,0.02,,0.01,0.03,,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,,0.02,0.02,0.02,,0.03,0.03,0.01,,0.02,0.03,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,0.02,,,0.01,,,0.02,,,,,,,,,,,,,,,0.02,0.02,,,,,0.03,,,0.01,,,,0.02,,,,,,,,,,,,,,,0.01,0.02,0.02,,0.01,0.01,0.01,,0.03,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.03,,,,,,,0.34,vlq_vd04ad36-9,vlq_vd04ad36
