timepoint,B.1.618,BF.21,XAG,BA.5.1.4,B.1.621,B.1.1.529,BQ.1.9,BU.2,BQ.1.33,BQ.1.1.47,CT.1,CP.3,CV.1,BM.2,BR.1.2,BQ.1.19,BE.4.2,B.1.1.425,BQ.1.2.1,B.1.36.22,B.1.180,B.1.1.431,BA.2.75.10,BG.1,XU,BF.23,B.1.640,AY.7.2,BA.1.10,AY.25,AY.4.1,BA.5.1.31,BA.5.1.7,B.1.525,AT.1,B.1.1.336,C.1,BK.1,P.1.14,B.1.1.522,B.1.1.10,P.6,AK.2,B.1.1.222,P.3,Z.1,B.1.1.420,R.1,BN.1.3.10,XBB.2.3.11,XBB.2.3.4,XBB.1.5.10,XBB.1.28.1,XBB.1.5.57,BQ.1.1.39,BQ.1.1.49,CH.1.1.9,BF.14,BF.24,BF.39,BA.1.18,BA.5.9,CM.8.1.2,DL.1,CR.1,BA.4.6.3,BA.1.1.14,B.1.78,BQ.1.14,BN.1,BA.2.75.4,B.1.637,AY.4.14,BA.5.1.18,XZ,BA.2.9.4,BA.1.1.18,AY.121.1,AY.4.2.2,AY.59,B.1.1.82,B.1.637.1,B.1.632,A.29,BA.5.1.8,B.1.1.430,B.1.177.5,P.2,XBB.2.3.5,XBB.1.28,BQ.1.2.2,XBB.1.5.2,BN.1.3.2,EK.3,XBK.1,BA.2.3.22,DS.2,BA.5.2.63,BF.26,XAK,BF.20,BF.36,BA.2.19,AY.74,BM.2.1,CH.1.1.25,BW.1.1.1,N.9,B.1.208,B.1.416,XAL,BA.4.1.2,BA.1.17,BA.2.3.10,BA.1.1.15,XAB,BA.1.22,AY.104,A.30,B.1.466,B.1.1.434,B.1.160.25,B.1.597,B.1.427,B.1.160.28,XBB.1.24,XBB.1.36,XBT,XBB.1.5.52,CH.1.1.6,B.1.491,CH.1.1.18,BF.5,XBB.1.5.6,BS.1.1,BN.1.3.7,BE.1,BQ.1.1.21,BA.5.2.54,BF.11.2,BN.1.2.1,BA.5.2.51,BF.11.4,BQ.1.1.3,BG.5,BA.1.1.11,BA.2.48,BA.2.9.1,BA.2.16,EV.1,FV.1,FW.1,FE.1.2,EY.1,XBB.1.33,XBB.1.5.40,CH.1.1.23,BE.9,XBB.1.29,BA.4.6.2,BQ.1.1.13,BQ.1.1.67,CM.1,BA.5.2.53,BA.5.2.36,BF.7.10,BT.2,BF.1.1,BA.2.9.7,BA.5.3,BA.2.73,BF.1,BA.2.67,AY.47,B.1.617.1,BQ.1.28,FD.1.1,XBB.1.22.2,GA.2,FD.4,DY.3,XBB.1.5.19,BQ.1.1.38,BQ.1.1.60,BQ.1.1.27,BQ.1.13.1,BQ.1.1.72,DC.1,BA.5.6.4,AY.23.2,CA.3,BA.2.57,AY.41,BA.2,BA.5.7,B.1.470,B.1.1.397,EW.1,CN.2,ER.1.1,B.1.182,BA.2.40,BA.5.1.25,BA.2.28,BF.7.17,XBJ.2,BQ.1.10.3,BQ.1.1.26,DM.1,B.1.36.23,XBC.2,CU.1,BA.5.2.62,BQ.1.5,BA.5.2.32,BA.5.3.1,BA.4.3,AY.75,BA.2.3.13,BA.2.47,AY.126,B.1.1.325,B.1.36.9,B.1.218,B.1.1.379,XBB.2.3.2,XBB.1.25,XBB.1.19.1,XBB.2.7.1,B.1.1.327,XBF.7,BN.1.10,BQ.1.11.1,CH.1.1.7,CM.6.1,BF.41.1,AY.99.1,BA.2.32,BA.5.2.19,BJ.1,BR.2,DJ.1.1,CP.8,XAH,BA.1.15.1,BA.1.17.1,BA.2.23.1,XP,BA.2.9,BA.2.8,BA.2.37,BF.3.1,B.1.280,GE.1,BA.5.5.3,XBB.2.3.1,CH.1.1.26,XBB.2.8,BQ.1.1.4,BA.5.2.29,BA.5.6.1,BA.2.44,AY.118,BA.2.3.5,BA.1.4,B.1.1.217,B.1.596,B.1.1.302,FY.2,EK.2,AY.43.4,BE.4.1,Q.6,AY.25.3,B.1.466.1,B.1.1.351,B.1.389,FL.1.2,XBF.10,CH.1.1.20,BQ.1.1.64,EM.1,FM.1,XBB.1.5.60,XB,BU.1,CP.2,DE.2,BA.5.2.23,B.1.630,BA.1.17.2,B.1.640.1,BF.17,B.1.177.65,W.1,BF.38,BF.7.6,BM.3,BF.7.13.1,B.1.438,BA.2.20,B.1.490,B.1.523,XBB.3.4,XBB.1.7,EG.1.3,DN.1.1.2,B.1.1.289,B.1.177.24,EA.2,BF.7.19.1,BN.1.4.4,BQ.1,BA.1.1.1,B.1.44,BM.5,XBN,BR.3,B.1.234,FT.1,XAY.1.2,BQ.1.26.2,BN.1.5,AY.4.6,B.1.1.355,AY.98.1,AY.88,XA,DY.2,BN.1.5.2,BQ.1.1.53,B.1.120,AY.122.1,AY.43.8,XBB.1.22,FA.2,BA.5.2.1,FR.1,BF.33,B.1.36.7,B.1.621.1,B.1.1.410,BQ.1.1.28,BQ.1.1.10,B.1.1.483,BA.4.1,B.1.1.115,B.49,B.1.1.176,FN.1,BM.1.1.5,BQ.1.27,BL.2.1,CP.1.3,BA.1.1.6,XV,B.1.1.4,others,sample_name,tool_name
23,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,0.03,0.03,,,0.02,,,0.01,0.03,,,,,,,,,,,,,,,0.02,,0.01,0.01,0.02,0.02,,0.03,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq-23,vlq
25,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,0.04,,0.02,0.02,,0.02,0.01,,,,0.03,0.01,,,0.02,,,0.01,0.05,,0.02,0.01,,,,,,,0.02,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,vlq-25,vlq
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.22,,0.02,0.02,,,,0.02,,,0.03,0.02,0.01,,,,0.02,0.03,0.01,,,0.02,0.01,,0.02,,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq-27,vlq
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.24,,,0.03,,,,0.02,,,,0.01,0.01,,,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.03,0.01,0.02,,,,0.03,0.03,0.01,0.02,0.03,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,0.23,vlq-29,vlq
31,,0.03,,,,,,0.02,0.02,,0.01,0.01,,,,0.1,,,,0.01,0.02,0.02,0.01,,,0.02,,,,,,,,,,,0.01,0.02,,0.01,0.01,,0.02,0.01,0.01,,0.02,0.01,,,,,,,,,0.02,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq-31,vlq
34,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,0.14,vlq-34,vlq
36,,,,,0.01,,,,,,,,,,,0.01,,,,0.02,,0.02,,,,0.04,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.14,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,0.11,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,vlq-36,vlq
38,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,0.01,0.02,0.02,,,,,,,,,,0.01,0.02,0.03,,0.02,0.02,,,0.02,0.02,0.02,,,0.04,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,0.01,0.06,0.03,,0.05,0.02,,0.03,,0.02,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq-38,vlq
40,,,,,,,,0.03,,0.02,0.03,0.03,,,,,,,,,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.07,0.02,,,0.03,0.02,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,0.02,0.03,,,,,,0.01,,,,0.06,,0.04,0.07,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq-40,vlq
42,,,,0.01,,,0.02,,,,,,,,,,0.01,,,0.03,,0.03,,,,0.03,,,,,,,0.01,0.02,,0.03,,0.02,0.01,,,,,,0.03,,,,,,,,,,,,,0.06,,0.02,0.02,,0.02,,,,,0.08,,,,,,,,,,0.02,,,0.02,0.01,,,,,,0.02,,,0.01,,0.03,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq-42,vlq
