timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.617.1,C.37,P.3,others,sample_name,tool_name
1,,0.27,,,0.1,,,,,0.02,,0.2,,,,,0.37,,0.03,lcs-1,lcs
12,,0.12,,,0.34,0.01,,,,0.06,,0.04,,,0.05,,0.34,,0.03,lcs-12,lcs
14,,0.27,0.02,,0.31,,,0.12,0.12,,,,,0.02,,,0.11,,0.02,lcs-14,lcs
16,,0.19,,0.4,,,,,,,,,,,,,0.36,0.02,0.03,lcs-16,lcs
18,,,0.1,,0.44,0.11,,,0.02,,,,,,,,,0.01,0.32,lcs-18,lcs
20,,0.13,,,0.5,,,,,,,,,,0.01,,0.32,0.03,0.01,lcs-20,lcs
23,,0.16,,,0.3,,,0.03,,,0.23,0.04,,,,,0.19,,0.04,lcs-23,lcs
25,,0.04,,,0.24,0.06,,,,,0.01,,,,0.11,,0.08,0.44,0.02,lcs-25,lcs
27,,0.32,,,0.39,,,,,,0.12,0.01,0.07,,,0.01,0.06,,0.02,lcs-27,lcs
29,,0.32,,,0.1,,,,,0.16,,,,,0.05,,0.34,,0.03,lcs-29,lcs
3,,0.03,,,0.33,,,0.07,,,,0.17,,,,,0.31,0.03,0.05,lcs-3,lcs
31,,,,,,,,,,0.49,,,,,,,0.29,0.2,0.02,lcs-31,lcs
34,,0.21,0.02,,0.11,,,0.01,,0.26,,0.12,,,0.05,,0.2,,0.01,lcs-34,lcs
36,,0.16,,,0.45,,,,,,,,,,,,0.35,0.02,0.02,lcs-36,lcs
38,,,0.18,,0.76,,,,,,,,,,,,0.04,,0.02,lcs-38,lcs
40,0.01,0.02,0.09,,,,,,,,0.14,0.02,,,,,0.02,0.67,0.01,lcs-40,lcs
42,,,,,0.78,,,,,0.03,,0.08,,,0.04,,0.05,,0.02,lcs-42,lcs
45,,0.18,,,0.38,,,,0.01,0.01,,0.03,,,0.03,,0.34,,0.01,lcs-45,lcs
47,,0.02,0.13,,0.3,,,,,0.05,,0.08,,,0.01,,0.37,0.02,0.02,lcs-47,lcs
49,0.03,0.2,,0.25,,,,,,,,0.02,,,,,0.48,,0.02,lcs-49,lcs
5,,,,,0.58,,,,,,,0.04,,,,,0.24,0.13,0.01,lcs-5,lcs
51,,0.4,,,0.47,,,,,,0.06,0.02,,,0.01,,,0.02,0.01,lcs-51,lcs
7,,,0.32,,0.15,,,0.02,,,0.11,0.29,,,,,0.07,0.02,0.01,lcs-7,lcs
9,,0.04,,,0.79,,0.02,,,0.01,,,,,0.05,,0.06,,0.03,lcs-9,lcs
