timepoint,BA.5.1.4,BA.2.19,BA.2.28,BE.10,FA.2,BW.1.1.1,DL.1,CT.1,BQ.1.1.21,BS.1,BM.5,BR.1.2,BM.3,BF.11.4,B.1.36.22,BF.13,BA.2.38.4,B.1.1.431,BA.2.9.7,XZ,BG.5,BF.23,BA.5.3,BD.1,BA.5.2.1,BA.4.3,BA.2.73,BA.2.3.6,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.5.2.28,BA.2.40.1,BA.1.17,BA.1.16,BA.1.1.15,BA.2.3.10,BA.4.1,BA.2.53,BA.2.9.4,BA.1.1.18,BA.1.19,BA.1.1,BA.1.1.4,BA.2.62,BA.1.8,XAB,BA.2.9.1,BA.1.10,XP,BA.1.1.17,BA.2.8,BA.1.9,BA.2.9,BA.2.47,BA.1.5,BA.2.16,BA.1.1.14,BA.1.15,BA.2.25,BA.1.6,BA.1.14,BA.5.1.31,BA.5.1.8,BA.5.1.7,BF.14,B.1.1.44,BK.1,P.3,B.1.177.84,B.1.1.420,XBB.1.24,XBB.1.28,XBB.2.3.6,FR.1,FN.1,BN.1.3.10,CH.1.1.7,BF.41.1,B.1.44,BA.5.9,XAG,B.1.1.529,BM.2.1,BQ.1.1.47,DM.1,EQ.1,DC.1,BA.5.1.18,BA.2.60,AY.124.1,AY.43.3,BA.1.15.3,BA.1.17.1,BA.1.15.1,BA.1.22,B.1.1.165,XBB.2.3.5,XBS,B.1.1.294,BN.1.3.5,BQ.1.33,CM.7,BR.5,XBN,CM.10,BN.1.3.3,CV.1,XBB,BN.1.2.1,BR.3,BA.5.2.53,BE.6,BA.4.6.4,BA.2.20,BA.2.57,BA.2.3.12,XJ,BA.2.31,BA.2.39,BF.17,XBB.2.3.8,FY.4,EV.1,BQ.1.2.2,GA.2,XBB.1.5.23,CM.5.2,BQ.1.27,FD.4,CN.2,BQ.1.1.64,XBK.1,XBC.1.2.1,BQ.1.1.38,XBB.1.11,BA.2.40,BA.5.1.25,BF.21,XAR,BU.2,BF.7.17,DJ.1.1,EF.1.1,BA.5.1.28,CP.3,BF.11.3,BQ.1.1.23,BA.5.2.62,BA.5.2.39,BQ.1.2.1,BQ.1.16,BA.5.2.32,BF.22,BA.5.2.57,BA.5.2.59,BA.2.75.10,BA.5.6.1,BF.4,XG,BF.3.1,BA.5.1.3,BV.2,B.1.1.286,BY.1.1,BQ.1.25.1,BQ.1.1.30,CH.1.1.9,BA.5.2.45,XBM,CM.5.1,CK.1.2,CC.1,BA.5.2.34,BF.26,BA.5.2.4,BF.5.5,BF.24,BF.5.1,BA.5.1.11,BA.5.2.19,BA.5.1.1,BA.5.1.16,BQ.1.1.51,XBB.2.2,BF.11.2,DE.2,BE.11,BF.7.9,BF.7.24,BA.5.5,BA.4.1.1,FE.1.2,XBB.1.33,XBT,BQ.1.1.49,BA.5.1.5,BF.7.6,BE.3,BF.1,BA.2.44,BA.2.72,BA.2,C.35,XBB.1.19.1,XBB.1.5.30,BE.1.3,BE.1.4,BQ.1.7,BQ.1.15,BQ.1.8,CN.1,BA.5.2.25,BA.4.1.2,BF.18,BA.5.7,BF.29,CH.1.1.6,CM.6.1,BF.38,BF.12,BE.1.4.4,BQ.1.26.2,BQ.1.1.26,XAZ,BF.7.13.1,BA.5.6.4,BF.16,BA.5.11,BA.5.1.23,BA.2.23.1,XBF.9,BL.5,BE.1.4.1,CU.1,CP.8,Q.6,FY.3,FY.2,BF.7.14.5,XBB.1.19,CM.8.1.4,B.1.491,XAJ,B.1.258.7,XBJ.2,CM.4,BA.5.2.26,B.1.280,BA.5.1.26,CB.1,BA.2.71,BA.2.3.9,BA.2.15,XBB.2.5,CP.2,BF.7.5,DT.2,EJ.2,BA.5.1.30,BM.4.1.1,BA.5.6.3,EL.1,BA.5.2.23,BE.12,BR.2.1,BQ.1.3.2,BQ.1.1.15,BA.1.1.6,BQ.1.1.53,B.1.1.410,BA.2.30,BA.2.9.2,ER.1,BQ.1.1.18,BQ.1.1.34,BF.7.4,P.1,BA.1.21.1,others,sample_name,tool_name
3,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.02,0.02,0.04,,,,,0.03,,,,,0.01,0.11,,0.01,,,,,,0.01,0.05,,0.01,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.45,vlq_vd04ad36-3,vlq_vd04ad36
31,0.02,,0.01,,,0.01,0.01,,0.03,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,0.02,,0.02,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-31,vlq_vd04ad36
34,0.02,,,,,0.03,,,0.01,0.01,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,0.03,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,0.04,,0.01,,,,,,,,0.01,0.02,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.17,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,0.01,0.03,0.01,0.02,0.03,,,0.04,,,,,,,0.01,,,,,,,0.02,,0.02,0.01,0.02,0.03,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,vlq_vd04ad36-36,vlq_vd04ad36
38,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,0.01,,,,,,,,0.01,,,,,0.01,0.01,,,0.01,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,0.01,,,,0.01,0.08,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,0.01,,,,,,,0.01,,0.47,vlq_vd04ad36-38,vlq_vd04ad36
40,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,0.04,,,0.02,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,0.11,,0.01,,,,,,,,,,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-40,vlq_vd04ad36
42,0.01,,,,,,,,0.02,,,,,,,,,,,,,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.04,,,0.02,,,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,,,,0.04,,,,0.01,,,,0.01,,,,0.02,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-42,vlq_vd04ad36
45,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,0.03,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,0.01,,,0.07,,,,,,,,,,,0.07,,0.01,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.54,vlq_vd04ad36-45,vlq_vd04ad36
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,0.03,0.02,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,0.01,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,0.02,,,0.02,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,0.02,,,,,,,,,0.01,0.01,,,,0.01,,,,0.01,,,0.02,0.01,,0.03,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,0.01,,,,,,,,,,,,,0.5,vlq_vd04ad36-49,vlq_vd04ad36
5,,,0.19,,,,,0.01,,,,,,,,,,0.01,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,0.02,,,,0.02,,,0.01,,,,,,0.02,,,,,,,0.04,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-5,vlq_vd04ad36
51,,,0.01,,,,,0.02,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,0.02,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,0.01,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,0.01,,0.01,,,,0.02,0.02,0.06,0.01,,,0.58,vlq_vd04ad36-51,vlq_vd04ad36
7,,0.08,,,,,0.01,,,,,,,,,,0.01,,,0.03,,0.03,,,,,,,,,0.01,0.06,,0.02,,0.02,,,,0.02,0.04,,0.01,0.01,,0.02,,,,,0.02,0.02,0.02,,0.03,,0.02,,,0.02,,0.01,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.19,0.02,0.02,0.03,,,0.03,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.08,,,,,,,,,,,0.45,vlq_vd04ad36-9,vlq_vd04ad36
