timepoint,XBB.2.3.3,XBB.1.5.43,XBB.1.5,BA.2.10,XBB.2.3.11,HA.2,BA.2.23,B,XBB.1.16,B.56,FU.2,FU.1,XBB.1.16.1,XBB.1.16.11,XBB.1.16.3,XBB.1.16.17,B.11,B.6,XBB.1.9.5,XBB.1.9,XBB.2.8,XBB.2,XBB.1,XBB,XBB.1.6,XBB.1.18,XBB.2.3.14,XBB.1.16.23,XBB.2.4,XBB.1.38,GJ.7,HH.4,XBB.2.3.2,B.50,XBB.2.3.10,B.1.14,XBB.1.9.4,XBB.1.45,HH.7,XBB.1.16.26,XBB.1.16.14,others,sample_name,tool_name
1,,,,,,,,0.02,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-1,freyja_v1.5.3
16,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-16,freyja_v1.5.3
31,,,,,,,,,,,,,,,,,0.02,,,0.96,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-31,freyja_v1.5.3
46,,,,,,,,0.02,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,0.48,,,,,0.02,freyja_v1.5.3-46,freyja_v1.5.3
61,,,,,,,,0.01,,0.01,,,,,,,,0.01,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-61,freyja_v1.5.3
77,,,,,,,,,,,,,,,,,0.02,,,,,,,0.96,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-77,freyja_v1.5.3
92,,,,,,,,,,,,,,,,,0.02,,,0.81,,,,,0.08,0.08,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-92,freyja_v1.5.3
107,,,,,,,,0.01,,0.01,,,,,,,,,0.1,0.1,,,,,,,,,0.77,,,,,,,,,,,,,0.0,freyja_v1.5.3-107,freyja_v1.5.3
122,,,,,,,,0.02,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,,,,,0.91,,,,,,,,,,,,,0.02,freyja_v1.5.3-122,freyja_v1.5.3
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,0.02,freyja_v1.5.3-137,freyja_v1.5.3
153,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-153,freyja_v1.5.3
168,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-168,freyja_v1.5.3
183,,0.44,0.44,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.03,freyja_v1.5.3-183,freyja_v1.5.3
198,0.36,0.16,0.16,0.11,0.09,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-198,freyja_v1.5.3
213,,,,,0.92,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.01,freyja_v1.5.3-213,freyja_v1.5.3
229,0.48,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-229,freyja_v1.5.3
244,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.22,0.22,,,,,,,,,0.03,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,0.97,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.0,freyja_v1.5.3-259,freyja_v1.5.3
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,0.03,freyja_v1.5.3-274,freyja_v1.5.3
289,,,,,,,,0.01,0.05,0.01,,,,,,,,,,,,,,,,,0.87,0.05,,,,,,,,,,,,,,0.01,freyja_v1.5.3-289,freyja_v1.5.3
305,0.03,,,,,,,0.01,0.71,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.01,,,,,0.18,,,0.01,freyja_v1.5.3-305,freyja_v1.5.3
320,,,,,,,,,0.14,,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-320,freyja_v1.5.3
335,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-335,freyja_v1.5.3
350,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,0.03,freyja_v1.5.3-350,freyja_v1.5.3
366,,,,,,,,0.03,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-366,freyja_v1.5.3
