timepoint,AY.10,AY.85,AY.61,B.1.1.529,AY.55,BM.1.1.1,B.1.177.25,AY.58,BA.2.9.7,BA.2.60,AY.30,BA.2.54,AY.24,B.1.626,AY.16,BA.1.16,AY.43.3,AY.122.1,AY.68,AY.65,AY.60,AY.72,AY.92,AY.33.2,XD,BA.1.1.13,B.1.471,B.1.143,AY.54,AY.104,AY.76,AY.69,P.1.16,B.49,B.1.1.99,A.21,B.1.439,B.1.609,P.1.12,B.1.221.4,P.1,B.1.160,AY.14,B.1.1.325,FK.1.2,XBC.1.2.1,B.1.281,B.1.332,B.1.70,AY.2,B.1.625,BA.5.1.4,B.1.78,B.1.36.22,B.1.1.431,B.1.1.326,BA.1.10,AY.44,AT.1,P.1.14,B.1.36.8,AY.43.9,B.1.525,B.1.1.50,P.3,C.17,Q.2,B.1.1.349,B.59,R.1,B.1.1.302,C.32,B.1.1.213,Q.8,AY.82,AY.9,P.1.12.1,B.1.1.100,EF.1.1,B.1.1.425,AY.23.2,AY.39.1,AY.94,Q.7,AY.47,AY.122.2,BA.2.8,AY.121.1,B.1.1.82,B.1.1.232,B.1.375,B.1.1.46,B.1.214.2,B.1.160.25,B.1.1.374,B.1.177.52,B.1.214.1,B.1.36.29,B.1.1.219,B.1.389,B.1.160.13,B.1.1,B.1.1.7,P.2,B.1.280,EK.3,XBK.1,B.1.1.8,BE.1.4.1,B.1.1.354,B.1.160.21,Q.6,AY.4.2.5,B.1.575.2,A.30,B.1.1.5,B.1.1.224,Q.4,AY.3.1,B.1.1.515,B.1.258.7,B.1.351,B.1.621,B.1.361,B.1.1.317,B.1.416,B.1.637,BA.5.6.1,BA.1.18,P.1.8,P.1.15,P.1.17,P.1.17.1,AY.53,B.1.351.5,AY.4.15,B.1.640.1,AY.25,AY.46.6,M.3,BA.1.6,B.1.1.187,AY.25.3,AY.4.5,B.1.466,B.1.470,B.1.1.161,B.1.1.434,B.1.213,B.1.1.159,B.6,B.1.160.28,B.1.36.31,B.1.160.11,B.1.565,B.1.36.1,B.1.381,B.1.190,AY.99,B.1.398,P.1.2,P.1.7,P.1.7.1,B.1.596.1,P.1.1,B.1.36.16,P.1.10,B.1.1.420,B.1.177.85,XBB.2.3.5,B.1.1.464,B.1.1.525,B.1.1.51,B.1.177.34,AY.75.2,BQ.1.1.47,BN.1,B.1.1.88,BA.1.1.4,B.1.105,A.29,AY.11,B.1.1.432,B.1.466.2,B.1.1.163,B.1.1.351,B.1.596,B.1.427,B.1.177.5,B.1.1.269,B.1.36.35,B.1.377,B.1.1.421,B.1.1.125,B.1.467,AY.119.2,B.1.613,BF.23,B.1.351.3,AY.106,AY.4.4,AY.39,AY.4.2,AD.2.1,B.1.400,BK.1,B.1.1.240,C.35,B.1.146,C.23,B.61,AY.114,AY.4.14,AY.109,AY.5.2,AY.127.1,B.1.640,AY.36,AY.46.5,AY.4.1,B.1.1.97,AY.57,AY.43.1,AY.79,AY.88,B.1.1.482,B.1.1.107,B.1.575.1,AA.1,B.1.1.433,B.1.1.153,AY.43.4,N.9,AY.103,B.1.258.20,B.1.258.11,B.1.9.3,BQ.1.1.3,BD.1,BA.2.57,BA.1.1,BA.1.15.3,BA.1.1.7,B.1.600,B.1.480,B.1.36.38,B.1.523,B.1.1.92,C.14,B.1.39,B.1.177.16,BA.2.52,B.1.151,Q.1,BF.14,B.1.1.158,B.1.1.148,C.19,FL.10,CH.1.1.27,XBB.1.17.2,B.1.1.200,B.1.1.149,C.37,B.1.406,A,B.1.206,W.3,B.1.367,AY.35,AY.131,AY.50,B.1.177.78,D.5,M.2,B.1.491,B.1.1.367,XA,B.1.526,CU.1,AY.118,G.1,B.1.482,AY.46,C.7,AA.4,B.1.177.38,B.1.177.72,XBC.1.2,BA.3,B.1.438.1,B.1.227,B.1.320,W.4,B.1.160.19,B.1.1.95,AY.4,BR.5,others,sample_name,tool_name
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,,,,,0.02,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,0.19,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,0.26,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,0.02,0.03,0.02,,,,,,,,,,,,,0.01,0.03,,0.01,0.02,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.23,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,0.03,0.01,0.02,0.02,,0.02,0.03,,0.03,,,0.02,0.01,,0.03,,0.02,0.01,0.03,0.02,0.01,0.02,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,0.02,0.02,0.02,0.07,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,0.03,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.04,0.02,,0.05,,0.03,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-274,vlq_vd04ad36
289,,0.05,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.04,,,,,,,,,,,0.03,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,0.02,0.01,,,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,,0.04,0.02,,,,,0.02,0.03,0.02,,0.02,0.01,0.04,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-289,vlq_vd04ad36
305,0.02,,0.03,,0.04,0.01,,0.05,,0.01,0.03,,0.02,,0.02,,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,,,0.01,0.07,0.02,,,0.01,0.02,,,,0.02,0.01,0.09,,0.04,0.01,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.03,0.01,0.02,,,0.01,,0.01,,0.02,0.03,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,0.02,0.01,,,,0.25,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.21,,0.03,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,0.46,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.03,,0.06,0.03,0.02,0.03,,,,0.07,0.02,0.06,0.04,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.43,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,0.02,,,0.02,0.02,0.02,,,,,,0.01,,,,,0.02,,0.01,0.02,0.03,,,0.01,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-350,vlq_vd04ad36
366,,,0.02,,,,,,,,,,,,,,0.05,,,,,,0.03,,0.01,,,,,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,0.31,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.04,,,,,,,,,0.01,,,,,,0.04,,,0.01,0.02,,0.03,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.04,,,,,,,,,,,,,,,0.03,,,,,0.02,,,,0.02,,,,,,,0.02,,,,,0.02,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.02,0.03,,0.02,0.03,0.03,,,,,,,,,,0.31,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,0.02,,0.02,,0.01,,,0.03,0.02,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.01,0.02,,0.17,0.02,0.01,,0.02,0.01,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,0.01,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,0.03,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-92,vlq_vd04ad36
