timepoint,P.1,AY.28,AY.67,AY.65,AY.57,AY.71,AY.26,AY.69,AY.58,AY.10,AY.59,AY.38,AY.9,AY.24,AY.61,AY.55,AY.56,AY.30,AY.16.1,AY.50,AY.17,AY.51,AY.19,AY.15,AY.14,AY.54,AY.8,AY.37,AY.49,AY.16,AY.13,AY.2,AY.74,AY.60,AY.72,B.1.1.344,B.1.1.28,A.1,A.5,B.4.7,B.58,B.4.5,B.35,B.39,B.51,A,B.4,B.10,B.11,B.57,B.47,B.6,B.5,B.19,B.23,B.26,B.55,B.27,B.1.14,B.20,B.15,B.13,B.45,B.12,B.37,B.60,A.2,B.3.1,B.38,B.34,B.40,B.31,B.30,B.18,B.3,B.41,B.33,B.61,B.28,A.11,P.1.17.1,B.1.1.161,P.1.16,P.1.2,P.1.15,P.1.14,P.1.13,P.1.17,P.1.1,P.1.10,P.1.12,A.4,B.1.1.226,B.1.433,B.1.428.1,B.1.1.487,B,B.1.530,AY.26.1,AY.64,AY.73,AY.27,AY.70,B.1.351.3,B.1.351.2,AY.11,AY.62,AY.66,AY.75,B.1.351,B.1.591,B.1.428.2,B.1.1.351,B.46,P.1.12.1,P.1.11,P.1.7.1,P.1.6,P.1.7,P.1.4,B.1.474,B.1.428.3,Q.4,Q.1,AY.48,AY.47,Q.2,Q.3,B.1.1.7,AY.52,AY.53,AY.133,AY.9.2.2,AY.9.2,B.1.526,Q.8,Q.7,Q.6,P.1.8,A.12,B.1.524,A.3,others,sample_name,tool_name
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,0.12,,,,,,0.12,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.01,0.12,0.01,0.0,freyja_v1.4.3-198,freyja_v1.4.3
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.4.3-213,freyja_v1.4.3
229,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.11,,0.11,,0.11,0.11,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-229,freyja_v1.4.3
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.07,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,0.07,,,,0.03,freyja_v1.4.3-244,freyja_v1.4.3
259,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.08,,0.08,0.08,,0.08,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-259,freyja_v1.4.3
274,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-274,freyja_v1.4.3
289,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.07,0.07,0.07,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,0.12,freyja_v1.4.3-289,freyja_v1.4.3
305,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-305,freyja_v1.4.3
320,,0.03,,0.03,0.03,0.03,0.03,,0.03,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,0.03,0.03,0.03,,0.03,0.03,,0.03,0.03,0.03,0.03,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,0.03,,,,0.03,,0.03,,,,,,,,,,,,,,,,0.03,0.03,,,,0.03,0.03,0.03,0.03,0.03,,,,,,,,,0.04,freyja_v1.4.3-320,freyja_v1.4.3
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.4.3-335,freyja_v1.4.3
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-350,freyja_v1.4.3
366,,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,,,,0.05,,,,,,,,,,,,0.05,,,,0.05,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,,,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-366,freyja_v1.4.3
