timepoint,B.1.1.529,others,sample_name,tool_name
1,0.97,0.03,quaid_vaec47270-1,quaid_vaec47270
16,0.97,0.03,quaid_vaec47270-16,quaid_vaec47270
46,0.97,0.03,quaid_vaec47270-46,quaid_vaec47270
61,0.97,0.03,quaid_vaec47270-61,quaid_vaec47270
77,0.03,0.97,quaid_vaec47270-77,quaid_vaec47270
92,0.98,0.02,quaid_vaec47270-92,quaid_vaec47270
107,0.6,0.4,quaid_vaec47270-107,quaid_vaec47270
122,0.98,0.02,quaid_vaec47270-122,quaid_vaec47270
137,0.99,0.01,quaid_vaec47270-137,quaid_vaec47270
153,0.99,0.01,quaid_vaec47270-153,quaid_vaec47270
168,0.96,0.04,quaid_vaec47270-168,quaid_vaec47270
183,0.98,0.02,quaid_vaec47270-183,quaid_vaec47270
198,0.97,0.03,quaid_vaec47270-198,quaid_vaec47270
229,0.97,0.03,quaid_vaec47270-229,quaid_vaec47270
259,1.0,0.0,quaid_vaec47270-259,quaid_vaec47270
289,0.99,0.01,quaid_vaec47270-289,quaid_vaec47270
305,0.95,0.05,quaid_vaec47270-305,quaid_vaec47270
320,0.19,0.81,quaid_vaec47270-320,quaid_vaec47270
335,1.0,0.0,quaid_vaec47270-335,quaid_vaec47270
350,0.96,0.04,quaid_vaec47270-350,quaid_vaec47270
366,0.96,0.04,quaid_vaec47270-366,quaid_vaec47270
