timepoint,BA.5.9,BA.2.80,BA.5.1.4,XAR,B.1.1.529,BW.1.1.1,DL.1,BQ.1.1.21,BM.5,BA.5.10.1,CU.1,BQ.1.3.1,BF.7.13.1,BA.5.6.4,BA.5.2.53,BA.2.38.4,BF.7.10,BF.23,BD.1,XAL,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.1.16,BA.1.1.15,BA.2.57,AY.43.3,BA.1.1.18,BA.1.19,BA.1.1,BA.1.1.4,BA.1.10,BA.1.17.1,XP,BA.2.18,AY.43.5,BA.1.9,BA.2.2.1,BA.2.9,BA.1.1.16,BA.1.1.6,BA.1.13,BA.1.1.13,BA.1.1.14,BA.1.22,BA.1.16.1,BC.2,AY.11,B.1.1.44,BK.1,A.21,XBB.1.28,BY.1.1,CN.2,BA.5.1.25,BF.21,BA.2.19,BA.2.28,BM.2.1,CM.7,CH.1.1.2,BM.3,DC.1,BF.7.9,BQ.1.16,BA.5.2.32,BF.7.24,BA.2.9.7,BG.5,BA.2.13.1,BA.2.60,BA.2.73,BA.5.1.23,BA.4.1.1,BA.2.3.6,BA.4.1.2,BA.2.12.2,BA.2.20,BA.5.2.28,BA.2.69,BA.2.30,BA.2.3.10,BA.2.9.4,BA.2.29,BA.2.68,XAB,BA.2.3.5,BA.2.9.2,BA.2.8,BA.2.47,BA.2.12,BA.2.16,BA.2.5,BA.2.25,B.1.1.398,BA.2,BA.5.1.7,XBB.3.4,XBB.2.3.6,XBB.1.28.1,GA.2,FK.1.2,BF.24,BA.2.40,BA.4,BF.5,BF.7.17,BQ.1.33,BQ.1.1.47,BQ.1.1.26,BA.5.1.28,DM.1,CP.2,BA.4.6.2,BF.11.3,BQ.1.1.10,BQ.1.15,BE.6,BA.5.1.18,BA.5.1.22,BA.5.3,BA.2.10.3,BF.1,BA.5.1.31,BF.18,BA.5.7,BF.14,BF.7.20,BQ.1.25.1,BQ.1.27,BQ.1.1.64,BQ.1.1.38,BQ.1.1.58,CM.5.1,BF.41.1,BA.2.38.2,BA.5.1.33,BF.7.6,BA.5.1.26,BA.5.1.11,BA.5.2.19,BE.1.4.4,BF.20,BF.39,BA.5.1.1,BA.5.1.16,BF.36,BA.2.75.6,BN.1.4.3,BN.1.2.1,BR.3,BA.5.1.29,BA.2.52,BA.2.23.1,BA.5.1.8,FE.1.2,XBB.1.22.2,BL.4,BA.5.2.57,BA.5.2.29,BA.5.8,BA.2.17,BT.1,BE.1.1.2,BE.1.1,BE.1.4,CV.1,BA.5.6.1,XZ,XU,BA.2.72,BA.5.1.3,BQ.1.1.49,BA.5.2.34,BA.4.1.4,BA.5.1.30,BA.5.12,BQ.1.1.15,BF.11.2,DE.2,BF.7.1,BF.28,BF.7.18,B.1.351,BQ.1.26.2,BN.1.3.3,BM.1.1.5,BQ.1.1.17,BQ.1.5,BQ.1.1.3,BA.2.10.4,BF.7.5,DY.3,CH.1.1.14,BQ.1.1.57,BQ.1.3.2,CC.1,BA.1.6,XBB.1.24,XM,AY.43.6,DG.1,B.1.362,B.1.1.209,EU.1.1,BN.1.3.1,BF.12,CM.5,BA.2.75.5,BF.5.5,BN.1.5,BN.1.4.1,BE.4,XJ,B.1.1.107,B.1.240.2,others,sample_name,tool_name
3,,,,,0.02,,,,,,,,,,,,,,,0.02,0.03,,0.06,0.03,0.02,0.03,0.02,,,0.03,,,0.01,,0.06,,,0.02,,0.02,,0.01,0.02,,0.02,0.02,0.01,,0.01,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.08,,,,,,,,0.03,,,,0.02,,,,,0.09,,,,,,,,,,,,,,,,,,,0.07,0.04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,0.01,0.01,,,,,0.03,0.01,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,0.01,,,,0.07,,,,,0.01,,0.03,,,0.01,,,,,,,,,,0.01,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.02,,,,0.01,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,0.02,,,,,0.19,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.52,vlq_vd04ad36-36,vlq_vd04ad36
38,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,0.15,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-38,vlq_vd04ad36
40,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,0.03,,,,,,,,0.01,,0.01,,,,,,,,0.01,,0.1,,0.04,,,,,0.02,,,,0.02,,,,,,,,,,,,0.01,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,0.62,vlq_vd04ad36-40,vlq_vd04ad36
42,0.02,,,,,,,,,,0.01,,,,0.03,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.04,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,,,,,0.01,,,0.01,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,0.56,vlq_vd04ad36-42,vlq_vd04ad36
45,0.01,,,,,,,0.01,,,0.01,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,0.01,,,0.07,0.01,,,,0.02,,,0.01,,,,0.01,,0.01,,,0.02,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.48,vlq_vd04ad36-45,vlq_vd04ad36
47,,,,,,,,,0.02,,,,0.01,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.05,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,0.04,,,,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.66,vlq_vd04ad36-47,vlq_vd04ad36
49,,,,,,,,0.02,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,0.06,,,0.01,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,0.07,,0.01,,,0.01,0.01,,,,,,0.01,0.01,,,,,,0.02,0.02,0.02,0.04,,,,,,,,,,,,0.57,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,,,,,,,,,,,,,0.02,,,,0.01,0.03,0.02,,,,,0.03,0.01,0.02,,,,,,0.04,,,,0.04,,,0.01,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,0.02,,,,0.02,,,0.02,,,,0.03,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.04,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-5,vlq_vd04ad36
51,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,0.01,,,0.23,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,0.01,,,,,,,,,,,,,,,0.02,,0.01,,,,0.01,,,,,,0.02,0.01,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.07,,,,,,,,,,,,0.01,,0.02,,,0.53,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,,,,,,,,,,,,,,,0.03,0.06,,0.02,0.05,0.03,0.01,,,0.03,,0.03,,,,,,,,0.05,0.01,,,,,0.02,,,0.07,,,,,,,,,,,0.01,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.53,vlq_vd04ad36-9,vlq_vd04ad36
