timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.31,0.06,0.64,quaid-1,quaid
12,0.26,,0.74,quaid-12,quaid
14,0.02,,0.98,quaid-14,quaid
16,0.34,,0.66,quaid-16,quaid
18,0.28,,0.72,quaid-18,quaid
20,0.04,,0.96,quaid-20,quaid
23,,,1.0,quaid-23,quaid
25,,,1.0,quaid-25,quaid
27,,,1.0,quaid-27,quaid
29,,,1.0,quaid-29,quaid
3,0.06,0.04,0.9,quaid-3,quaid
31,,,1.0,quaid-31,quaid
34,,,1.0,quaid-34,quaid
36,,,1.0,quaid-36,quaid
38,,,1.0,quaid-38,quaid
40,,,1.0,quaid-40,quaid
42,,,1.0,quaid-42,quaid
45,,,1.0,quaid-45,quaid
47,,,1.0,quaid-47,quaid
49,,,1.0,quaid-49,quaid
5,0.07,,0.93,quaid-5,quaid
51,,,1.0,quaid-51,quaid
7,0.07,,0.93,quaid-7,quaid
9,0.1,,0.9,quaid-9,quaid
