timepoint,BA.2,BA.2.12.1,BA.2.23,BA.4.8,BA.2.3.10,BA.2.3,BA.2.12,XAS,B.1.153,B.1,BA.1.1,BA.2.19,BA.2.29,BA.1.17.2,BA.1.13,BA.1.18,BA.1.17,B.1.1.529,B.1.76,XV,BA.5.2,BF.14,BA.5.1,BA.5.1.3,BE.1.1,BA.5,BF.17,BA.5.1.28,BA.5.1.21,BA.5.2.26,BF.8,BA.5.2.1,BF.4,BF.41,BF.2,BA.5.2.20,CE.1,BF.7.1,BF.7,BF.7.23,BA.2.75.7,BA.5.3.1,BE.1,BA.2.75.1,BA.5.3,BF.7.15,BQ.1.24,BQ.1.10,BA.5.11,BQ.1.1.47,BQ.1.1.67,DT.3,BQ.1.1.45,BQ.1.1.3,BQ.1.1.37,BQ.1.1.53,DR.1,BQ.1.1.66,BQ.1.1,BQ.1.1.32,BQ.1.1.9,BQ.1.1.31,BQ.1.1.74,BF.7.5,BA.2.79,BF.7.4,BQ.1.5,BF.11,CH.1.1.3,CH.1.1.1,CH.1.1,BA.5.1.11,BE.1.1.1,BN.1.10,BN.1,BN.1.3,BF.7.6,XBB.1,XBB.2,XBB,BF.39,BF.6,BA.5.1.5,BA.5.1.22,BF.7.12,BA.5.1.23,BF.12,BA.2.3.20,BA.2.75.2,BA.5.1.34,BA.5.1.12,BF.5,BA.5.1.30,BA.2.75,BM.1.1.3,BA.5.5,BA.2.75.4,BA.4,BA.5.2.36,BA.2.27,BA.2.24,BF.1,BE.1.4,BA.4.1,BA.4.1.9,BF.38,BF.18,BA.2.11,BA.4.1.2,BA.2.75.5,CR.1,BN.1.3.1,BA.4.6,BA.5.5.1,BF.7.27,BA.5.2.32,BA.5.2.61,BF.7.7,BA.5.9,BN.1.3.3,BQ.1.1.25,XBU,XBS,CT.1,BQ.1.1.6,BQ.1.2,BQ.1.23,BQ.1.1.18,XBB.2.7,BM.4,BA.5.1.35,XAP,BA.2.16,BA.2.9.5,BA.2.9.2,BA.2.9,BA.1.1.1,BA.1,BA.1.19,B.1.617.2,AY.43,AY.102,BA.1.16,B.1.142,BA.2.3.5,XAJ,BA.2.37,BF.28,BQ.1.1.34,XBB.2.8,BA.5.2.27,BM.2,BE.1.2,BF.24,BA.1.1.11,BA.1.1.7,BA.1.1.10,BA.1.20,AY.113,BE.1.1.2,BQ.1.27,BA.2.6,BA.2.8,BA.2.4,BA.2.56,BA.5.2.3,BE.3,XAH,others,sample_name,tool_name
23,0.11,,,0.02,,,,0.48,,,,,,,,,,,,,,,0.08,,0.02,0.02,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.15,0.04,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-23,freyja_v1.4.3
25,,,0.15,0.04,,0.05,0.04,0.02,,,,,,,,,,,,,0.05,,,,,0.26,,,,,,0.01,0.01,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.03,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-25,freyja_v1.4.3
27,,,0.05,0.05,,,0.06,,,,,,,,,,,,,,0.08,0.05,0.25,,,0.12,,,,,,0.04,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-27,freyja_v1.4.3
29,,,0.05,,,,,,,,,,,,,,,,,,0.08,0.07,0.26,,,,,,,,,0.03,,,,,,,,,,,0.11,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,0.02,,,,0.04,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-29,freyja_v1.4.3
31,,,0.06,,,,,,,,,,,,,,,0.01,,,0.1,0.12,,,0.1,,,,,,,0.03,0.03,,,,,0.01,0.01,,,,0.01,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.03,0.03,,,,0.02,,,,,,0.02,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,0.01,,,,,,,,0.02,freyja_v1.4.3-31,freyja_v1.4.3
34,,,,,,,,,,,,,,,,,,,,,0.21,0.12,0.1,0.1,0.09,0.08,,,,,,0.03,0.03,,,,,0.02,0.02,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-34,freyja_v1.4.3
36,,,,,,,,,,,,,,,,,,,,,0.25,0.12,0.07,0.07,,,,,,,,0.07,0.07,,0.02,0.02,,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,0.02,0.01,0.05,freyja_v1.4.3-36,freyja_v1.4.3
38,,,,0.02,,,,0.02,,,,,,,,,,,,,0.26,0.12,0.08,0.08,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-38,freyja_v1.4.3
40,,,0.02,,,,,,,,,,,,,,,,,,0.22,0.03,0.04,0.04,0.02,0.03,,,,,,0.04,0.04,,,,,0.02,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.02,0.07,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.4.3-40,freyja_v1.4.3
42,,,,,,,,,,,,,,,,,,,,,0.21,0.05,0.04,,,,0.02,0.05,,,,0.07,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.15,,,,0.01,,,,0.03,0.06,,,,,,,,,,,,,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-42,freyja_v1.4.3
45,,,0.02,,,,,0.01,,,,,,,,,,,,,0.14,0.09,,,,,,0.11,,,,,,,,,,0.04,0.04,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.03,,,0.02,0.02,0.02,,,,,,,,,,,,0.03,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,0.04,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.05,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-45,freyja_v1.4.3
47,,,,,,,,,,,,,,,,,,,,,0.1,0.02,,,,0.04,,,,,,,,,,,,0.07,0.07,,,,,,0.05,,0.07,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.03,,,,0.09,,0.03,0.03,0.03,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.05,0.05,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-47,freyja_v1.4.3
49,,,,,,,,,,,,,,,,,,,,,0.11,0.05,0.01,0.01,,,,,,,,,,,0.02,,,0.1,0.1,,,,,,,,,,0.02,,,,0.05,,,,,,0.05,,,0.05,,,,,,0.01,,,,,0.08,,0.05,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.03,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.4.3-49,freyja_v1.4.3
51,,,,,,,,,,,,,,,,,,,,,0.03,0.05,,,,0.04,,,,,,,,,,,,0.04,0.04,,,,,,,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.4.3-51,freyja_v1.4.3
