timepoint,BA.2.16,BA.1,BA.2.9,BA.2.23,B.1.1.529,B.1.153,B.1.142,B.1.76,B.1,XV,BA.5.2,BF.14,BA.5.1,BA.5.1.3,BE.1.1,BA.5,BF.39,BF.4,BA.5.2.1,BF.6,BA.5.1.5,BA.2.75.1,BE.1,BA.5.1.22,BF.7.1,BF.7.12,BF.7,BA.5.1.23,BF.12,BA.5.11,BA.2.12,BA.4.8,BF.1,BA.5.5,XAP,BA.1.1,BA.1.1.1,BA.2.9.5,BA.2.9.2,BA.2.6,BA.2.8,BA.2.3,BA.2.27,BA.2.4,BA.2.56,BA.2,BA.2.11,BA.4.1.2,XAS,BN.1.3,BA.5.9,BQ.1.24,BF.7.7,BN.1.3.3,BA.5.3,BQ.1.1.25,XBU,XBB.2,XBB.1,XBB,BA.5.1.11,XBS,BA.2.79,CT.1,CR.1,BE.1.1.1,XAJ,BA.2.37,BA.2.3.20,BN.1,BA.2.75.4,BA.5.1.28,BA.2.75.5,BF.17,BN.1.3.1,BA.4.6,BF.5,BA.5.5.1,BF.7.27,BA.5.2.32,BA.5.2.61,BA.5.3.1,BA.1.13,B.1.617.2,AY.43,BA.1.17.2,BA.1.1.11,BA.1.1.7,BA.1.1.10,BA.1.18,BA.1.20,AY.113,BA.2.75.2,BA.5.1.34,BA.5.1.12,BA.5.1.30,BA.2.75,BM.1.1.3,BA.4,BA.5.2.36,BF.28,BQ.1.1.34,BQ.1.5,XBB.2.8,BA.5.2.27,BM.2,BE.1.2,BF.24,BA.2.24,BE.1.4,BA.4.1,BA.4.1.9,BF.38,BF.18,BQ.1.1.45,BQ.1.1.6,BQ.1.1.31,BQ.1.1,BQ.1.2,BQ.1.23,BQ.1.1.18,XBB.2.7,BF.2,BF.11,BM.4,BA.5.1.35,BA.1.17,BE.1.1.2,BQ.1.27,BA.5.2.3,BE.3,BA.5.2.20,XAH,BA.5.2.26,BF.7.23,BF.7.15,BQ.1.10,BQ.1.1.47,BQ.1.1.67,DT.3,BQ.1.1.3,BQ.1.1.37,BQ.1.1.53,DR.1,BQ.1.1.66,BQ.1.1.32,BQ.1.1.9,BQ.1.1.74,BF.7.5,BF.7.4,CH.1.1.3,CH.1.1.1,CH.1.1,BN.1.10,BF.7.6,BA.2.19,BA.2.29,BA.1.19,AY.102,BA.1.16,BA.2.3.5,BA.2.12.1,BA.2.3.10,BA.5.1.21,BF.8,BF.41,CE.1,BA.2.75.7,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.04,0.11,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.03,0.01,,,,,,,,,0.04,freyja-1,freyja
3,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.17,0.07,0.07,0.04,0.04,0.04,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-3,freyja
5,0.51,0.32,0.08,0.03,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja-5,freyja
7,0.41,0.01,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-7,freyja
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.06,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.11,,,,,,,,,,,,0.08,freyja-9,freyja
12,0.4,0.01,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja-12,freyja
14,,,0.11,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,0.11,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,freyja-14,freyja
16,,,0.2,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.04,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja-16,freyja
18,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,0.81,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja-18,freyja
20,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.02,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.02,,,,,,0.02,freyja-20,freyja
