timepoint,B.1.1.7,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.99,,,,0.01,virpool_v763c212-1,virpool_v763c212
16,0.99,,,,0.01,virpool_v763c212-16,virpool_v763c212
31,0.99,0.01,,,0.0,virpool_v763c212-31,virpool_v763c212
46,0.99,,,,0.01,virpool_v763c212-46,virpool_v763c212
61,0.99,,,,0.01,virpool_v763c212-61,virpool_v763c212
77,0.98,,,0.01,0.01,virpool_v763c212-77,virpool_v763c212
92,0.84,,,0.15,0.01,virpool_v763c212-92,virpool_v763c212
107,0.2,,,0.8,0.0,virpool_v763c212-107,virpool_v763c212
122,0.02,,,0.98,0.0,virpool_v763c212-122,virpool_v763c212
137,,0.02,,0.98,0.0,virpool_v763c212-137,virpool_v763c212
153,,0.01,,0.99,0.0,virpool_v763c212-153,virpool_v763c212
168,,,,0.99,0.01,virpool_v763c212-168,virpool_v763c212
183,,,,0.96,0.04,virpool_v763c212-183,virpool_v763c212
198,0.24,0.02,,0.62,0.12,virpool_v763c212-198,virpool_v763c212
213,,0.06,,0.03,0.91,virpool_v763c212-213,virpool_v763c212
229,,,,0.1,0.9,virpool_v763c212-229,virpool_v763c212
244,,,,0.15,0.85,virpool_v763c212-244,virpool_v763c212
259,0.09,0.04,,0.17,0.7,virpool_v763c212-259,virpool_v763c212
274,,,,0.04,0.96,virpool_v763c212-274,virpool_v763c212
289,,,,0.08,0.92,virpool_v763c212-289,virpool_v763c212
305,,,,,1.0,virpool_v763c212-305,virpool_v763c212
320,,0.23,,,0.77,virpool_v763c212-320,virpool_v763c212
335,,,,,1.0,virpool_v763c212-335,virpool_v763c212
350,,,,,1.0,virpool_v763c212-350,virpool_v763c212
366,,0.05,0.31,,0.65,virpool_v763c212-366,virpool_v763c212
