timepoint,XBB.1.16,B.55,XBB.2.3.13,B,XBB.2.3.11,B.1,XBB.1.5,XBB.2.3.3,XBB.1.9,XBB.1.37,B.1.377,XBB.2.3.10,XBB,XBB.1.8,XBB.1.9.1,XBB.1.17,XBB.2.4,others,sample_name,tool_name
1,,,,0.03,,,,,0.97,,,,,,,,,0.0,freyja_v1.5.3-1,freyja_v1.5.3
16,,,,0.02,,,,,0.97,,,,,,,,,0.01,freyja_v1.5.3-16,freyja_v1.5.3
31,,,,0.03,,,,,0.97,,,,,,,,,0.01,freyja_v1.5.3-31,freyja_v1.5.3
46,,,,0.02,,0.01,,,0.97,,,,,,,,,0.0,freyja_v1.5.3-46,freyja_v1.5.3
61,,,,0.02,,,,,0.97,,,,,,,,,0.0,freyja_v1.5.3-61,freyja_v1.5.3
77,,,,0.02,,,,,0.96,,,,0.01,,,,,0.01,freyja_v1.5.3-77,freyja_v1.5.3
92,,,,0.02,,,0.05,,0.71,,,,,0.11,0.1,,,0.01,freyja_v1.5.3-92,freyja_v1.5.3
107,,,,0.02,,,0.76,,0.2,0.01,0.01,,,,,,,0.0,freyja_v1.5.3-107,freyja_v1.5.3
122,,,,0.02,,,0.97,,,,,,,,,,,0.0,freyja_v1.5.3-122,freyja_v1.5.3
137,,,,0.02,,,0.96,,,,,,0.01,,,,,0.01,freyja_v1.5.3-137,freyja_v1.5.3
153,,,,0.02,,,0.96,,,,,,,,,0.01,,0.01,freyja_v1.5.3-153,freyja_v1.5.3
168,,,,0.02,,,0.97,,,,,,,,,,,0.0,freyja_v1.5.3-168,freyja_v1.5.3
183,,,,0.02,,,0.91,0.04,,,,,,,,,0.01,0.02,freyja_v1.5.3-183,freyja_v1.5.3
198,,,,0.02,,,0.5,0.47,,,,,,,,,,0.01,freyja_v1.5.3-198,freyja_v1.5.3
213,,,,0.02,0.04,,,0.89,,,,,0.04,,,,,0.01,freyja_v1.5.3-213,freyja_v1.5.3
229,,,,0.01,0.02,,,0.95,,,,,,,,,,0.02,freyja_v1.5.3-229,freyja_v1.5.3
244,,,,0.03,0.01,,,0.96,,,,,,,,,,0.0,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,0.02,0.03,,,0.94,,,,,,,,,,0.01,freyja_v1.5.3-259,freyja_v1.5.3
274,,,,0.02,0.03,,,,,,,0.94,,,,,,0.02,freyja_v1.5.3-274,freyja_v1.5.3
289,0.1,,0.87,0.02,,,,,,,,,,,,,,0.02,freyja_v1.5.3-289,freyja_v1.5.3
305,0.7,,,0.02,,,,0.27,,,,,,,,,,0.0,freyja_v1.5.3-305,freyja_v1.5.3
320,0.96,,,0.02,0.01,0.01,,,,,,,,,,,,0.0,freyja_v1.5.3-320,freyja_v1.5.3
335,0.97,0.03,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-335,freyja_v1.5.3
350,0.97,,,0.03,,,,,,,,,,,,,,0.0,freyja_v1.5.3-350,freyja_v1.5.3
366,0.97,,,,,0.01,,,,,,,,,,,,0.02,freyja_v1.5.3-366,freyja_v1.5.3
