timepoint,XAR,XBN,XBB.2.2,BQ.1.1.21,BM.5,BN.1.2.1,XBB.1.24,XBB.2.3.5,XBB.2.3.8,XBB.2.3.11,XBB.1.28,FW.1,XBB.2.3.6,XBB.1.16.2,FE.1.2,XBB.1.36,XBB.2.3.3,XBB.1.16.1,XBB.2.3.7,FT.1,XBB.1.25,XBB.1.22.2,XBB.1.5.69,XBB.1.5.59,XBB.1.5.40,XBB.1.22,XBB.1.16,EK.3,XBB.1.5.12,XBB.2.3,XBK.1,XBB.1.20,XBB.1.29,EL.1,FU.2,XBB.3.4,FU.1,FY.2,XBB.2.3.2,XBL.1,EG.2,EK.4,EG.4,EU.1.1,XBB.1.5.57,XBB.1.5.62,XBB.1.5.19,CH.1.1.9,XBB.1.9.4,B.1.1.242,BA.1.16,EG.1.1,XBB.1.11,B.1.1.27,B.1.198,XBB.2.5,BQ.1.7,XBB.1.15,BS.1,XBB,BA.2.9,XBB.1.5.31,XBB.1.5.44,GE.1,XBB.1.5.10,XBB.1.16.5,XBB.1.5.3,XBB.1.9.3,XBB.1.5.68,XBB.1.5.43,XBB.1.34,FL.9,XBB.1.5.54,XBB.1.5.36,XBB.1.5.16,XBB.1.19,XBB.1.5.21,XBB.1.5.63,XBB.1.5,XBB.1.5.18,XBB.2.4,BA.2.28,XBB.1.5.6,B.1.227,BA.5.2.28,BA.2.3.10,B.1.177.38,FY.1,XBB.1.5.23,EG.1.3,XBB.1.5.2,XBB.8.1,XBB.1.38,FY.3,XBB.2.9,FG.2,XBB.1.9,B.1.149,B.1.351.2,XBB.1.9.5,CH.3,FZ.1,BQ.1.24,XBB.1.9.1,XBB.1.5.34,FL.8,BA.2.27,FG.3,FL.10,FE.1,B.1.1.221,BA.2.3.11,others,sample_name,tool_name
274,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,0.02,,,,0.01,0.03,,,,,0.03,,,,,,,,0.02,,,0.6,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.24,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,0.01,,0.01,0.02,,,,,0.04,0.05,,,,0.02,,,,,,,,,0.47,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-305,vlq_vd04ad36
31,,,0.01,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,0.03,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,0.03,0.15,,,,,,,,,0.33,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,0.5,,,,,,,,0.01,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,0.02,,,,,,,0.03,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,0.19,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,,0.01,,,,0.01,,,0.01,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.16,,,0.16,,,,,,,,,0.01,,,,0.54,vlq_vd04ad36-77,vlq_vd04ad36
92,,0.01,,,0.01,,0.01,0.01,,,,,0.01,0.01,,,,,,0.01,,,,,,,,,,,,,0.02,,,0.02,,0.02,,,0.02,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,0.08,,,0.01,0.57,vlq_vd04ad36-92,vlq_vd04ad36
